"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG10372","FBgn0025608","Drosophila melanogaster","Q9VJ58","Q9VJ58_DROME"
"CG10373","FBgn0032704","Drosophila melanogaster","Q8SXD0","Q8SXD0_DROME"
"CG10373","FBgn0032704","Drosophila melanogaster","",""
"CG10377","FBgn0004838","Drosophila melanogaster","P48809","RB27C_DROME"
"CG10413","FBgn0032689","Drosophila melanogaster","Q9VJ75","Q9VJ75_DROME"
"CG10420","FBgn0039296","Drosophila melanogaster","Q9VBV5","SIL1_DROME"
"CG10423","FBgn0039300","Drosophila melanogaster","Q9VBU9","Q9VBU9_DROME"
"CG10425","FBgn0039304","Drosophila melanogaster","Q9VBU5","Q9VBU5_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","A8DZ18","A8DZ18_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","M9NCY3","M9NCY3_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","M9PD76","M9PD76_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","M9PDF7","M9PDF7_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","M9PDR3","M9PDR3_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","M9PG93","M9PG93_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","P16621","LAR_DROME"
"CG10470","FBgn0032746","Drosophila melanogaster","Q8IA62","Q8IA62_DROME"
"CG10470","FBgn0032746","Drosophila melanogaster","Q9VJ11","Q9VJ11_DROME"
"CG10504","FBgn0028427","Drosophila melanogaster","E3CTS5","E3CTS5_DROME"
"CG10504","FBgn0028427","Drosophila melanogaster","Q9NHC7","Q9NHC7_DROME"
"CG10504","FBgn0028427","Drosophila melanogaster","Q9V400","Q9V400_DROME"
"CG10506","FBgn0027090","Drosophila melanogaster","Q9Y105","SYQ_DROME"
"CG10522","FBgn0002466","Drosophila melanogaster","M9PI41","M9PI41_DROME"
"CG10522","FBgn0002466","Drosophila melanogaster","Q6NR17","Q6NR17_DROME"
"CG10522","FBgn0002466","Drosophila melanogaster","Q9VTY8","Q9VTY8_DROME"
"CG10527","FBgn0034583","Drosophila melanogaster","Q9W2M4","Q9W2M4_DROME"
"CG10540","FBgn0034577","Drosophila melanogaster","Q9W2N0","CAPZA_DROME"
"CG10545","FBgn0001105","Drosophila melanogaster","P26308","GBB1_DROME"
"CG10565","FBgn0037051","Drosophila melanogaster","Q9VP77","Q9VP77_DROME"
"CG10576","FBgn0035630","Drosophila melanogaster","Q5U0Z2","Q5U0Z2_DROME"
"CG10576","FBgn0035630","Drosophila melanogaster","Q9VRP2","Q9VRP2_DROME"
"CG10585","FBgn0037044","Drosophila melanogaster","Q9VP87","Q9VP87_DROME"
"CG1059","FBgn0087013","Drosophila melanogaster","Q960E2","Q960E2_DROME"
"CG1059","FBgn0087013","Drosophila melanogaster","Q9VN44","Q9VN44_DROME"
"CG10590","FBgn0035622","Drosophila melanogaster","Q9VRN1","Q9VRN1_DROME"
"CG10593","FBgn0016122","Drosophila melanogaster","Q9VLJ6","ACER_DROME"
"CG10596","FBgn0015766","Drosophila melanogaster","Q26459","Q26459_DROME"
"CG10596","FBgn0015766","Drosophila melanogaster","Q8IGD4","Q8IGD4_DROME"
"CG10596","FBgn0015766","Drosophila melanogaster","Q8IQ63","Q8IQ63_DROME"
"CG10596","FBgn0015766","Drosophila melanogaster","Q9VRM5","Q9VRM5_DROME"
"CG10602","FBgn0032721","Drosophila melanogaster","Q9VJ39","Q9VJ39_DROME"
"CG10602","FBgn0032721","Drosophila melanogaster","R4GRV7","R4GRV7_DROME"
"CG10616","FBgn0036286","Drosophila melanogaster","M9NE87","M9NE87_DROME"
"CG10616","FBgn0036286","Drosophila melanogaster","Q86D35","Q86D35_DROME"
"CG10616","FBgn0036286","Drosophila melanogaster","Q9VTX8","ODR4_DROME"
"CG10620","FBgn0036299","Drosophila melanogaster","Q9VTZ5","Q9VTZ5_DROME"
"CG10624","FBgn0010894","Drosophila melanogaster","B7Z0C1","B7Z0C1_DROME"
"CG10624","FBgn0010894","Drosophila melanogaster","Q9VRM3","Q9VRM3_DROME"
"CG1065","FBgn0004888","Drosophila melanogaster","Q94522","SUCA_DROME"
"CG10652","FBgn0086710","Drosophila melanogaster","Q8MT23","Q8MT23_DROME"
"CG10652","FBgn0086710","Drosophila melanogaster","Q9VJ19","Q9VJ19_DROME"
"CG10655","FBgn0002021","Drosophila melanogaster","Q9VJ10","Q9VJ10_DROME"
"CG10664","FBgn0032833","Drosophila melanogaster","Q9VIQ8","Q9VIQ8_DROME"
"CG10671","FBgn0035586","Drosophila melanogaster","Q9VRJ2","FITM_DROME"
"CG10671","FBgn0035586","Drosophila melanogaster","Q9VRJ2","FITM_DROME"
"CG10671","FBgn0035586","Drosophila melanogaster","",""
"CG10672","FBgn0035588","Drosophila melanogaster","Q9VRJ4","Q9VRJ4_DROME"
"CG10686","FBgn0041775","Drosophila melanogaster","M9PCB7","M9PCB7_DROME"
"CG10686","FBgn0041775","Drosophila melanogaster","M9PF14","M9PF14_DROME"
"CG10686","FBgn0041775","Drosophila melanogaster","M9PF20","M9PF20_DROME"
