Protein.ID,Sum.of.peptides.used.for.identification.across.all.four.LOPIT.experiments,LOPIT1_Protein.mascot.score,LOPIT1_No.of.distinct.peptides.identified,LOPIT1A_No.Of.MSMS.spectra.quantified,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_No.Of.MSMS.spectra.quantified,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2_Protein.mascot.score,LOPI2_No.of.distinct.peptides.identified,LOPIT2A_No.Of.MSMS.spectra.quantified,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_No.Of.MSMS.spectra.quantified,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3_Protein.mascot.score,LOPI3_No.of.distinct.peptides.identified,LOPIT3A_No.Of.MSMS.spectra.quantified,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_No.Of.MSMS.spectra.quantified,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4_Protein.mascot.score,LOPIT4_No.of.distinct.peptides.identified,LOPIT4A_No.Of.MSMS.spectra.quantified,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_No.Of.MSMS.spectra.quantified,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT3G28450,12,223.07,5,7,0.1818571429,0.2958571429,0.2542857143,0.2678571429,8,0.2708888889,0.2282222222,0.2174444444,0.2833333333,200.18,4,4,0.13225,0.25125,0.27425,0.342,5,0.1914,0.2016,0.2888,0.3176,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,154.44,3,7,0.2098571429,0.243,0.2748571429,0.2724285714,0,NA,NA,NA,NA
AT4G03560,12,91.84,2,2,0.3255,0.21,0.184,0.28,1,0.554,0.133,0.128,0.185,196.41,4,2,0.4605,0.1935,0.154,0.192,5,0.3814,0.1724,0.19,0.2562,297.16,6,9,0.4494444444,0.1488888889,0.1795555556,0.2223333333,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
AT5G42480,12,175.95,3,3,0.0593333333,0.1183333333,0.2546666667,0.5676666667,3,0.0941666667,0.0841666667,0.3066666667,0.5148333333,339.17,7,1,0.056,0.087,0.196,0.662,0,NA,NA,NA,NA,76.44,2,1,0.257,0.11,0.222,0.412,3,0.1172,0.3094,0.1978,0.3752,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
AT5G07440,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,329.97,6,11,0.1366923077,0.1846153846,0.2313076923,0.4475384615,11,0.1091578947,0.3107894737,0.1885789474,0.3912631579,305.7,6,16,0.1465,0.1792777778,0.2494444444,0.4246111111,9,0.1695,0.1609,0.2809,0.3889
AT5G52840,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,322.25,6,6,0.1158888889,0.1523333333,0.2308888889,0.5007777778,6,0.0925833333,0.3044166667,0.2275833333,0.3751666667,325.53,6,10,0.1426363636,0.1658181818,0.2419090909,0.4496363636,12,0.17575,0.174125,0.2819375,0.3684375
AT1G27390,12,277.31,6,8,0.084625,0.182,0.32775,0.405375,10,0.101,0.2371,0.3022,0.3599,298.23,6,6,0.0486666667,0.1456666667,0.3346666667,0.4706666667,5,0.0572,0.1766,0.3284,0.4376,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
AT1G24360,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,237.38,6,4,0.1365,0.195,0.2735,0.39525,7,0.0972727273,0.3059090909,0.2559090909,0.3409090909,262.77,6,12,0.1271666667,0.19725,0.3283333333,0.3471666667,5,0.1228,0.2034,0.33,0.3442
AT3G66658,12,309.26,7,4,0.297,0.30825,0.22475,0.16925,9,0.4171111111,0.2426666667,0.182,0.1578888889,226.44,5,7,0.2042857143,0.3342857143,0.262,0.1997142857,5,0.2886,0.3146,0.2458,0.1514,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
AT5G03290,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,254.04,5,8,0.1353333333,0.1813333333,0.2516666667,0.4315,6,0.126375,0.302,0.216625,0.355125,344.76,7,5,0.1531666667,0.1818333333,0.2678333333,0.3966666667,4,0.2133333333,0.1733333333,0.2686666667,0.3448333333
AT1G65540,12,287.63,5,4,0.1045,0.1775,0.293,0.4255,7,0.122125,0.181125,0.27725,0.4195,327.43,7,4,0.07225,0.12875,0.30975,0.48875,6,0.0495,0.1671666667,0.3135,0.4696666667,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
