"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG7583","FBgn0020496","Drosophila melanogaster","O46036","CTBP_DROME"
"CG7583","FBgn0020496","Drosophila melanogaster","O46036","CTBP_DROME"
"CG7597","FBgn0037093","Drosophila melanogaster","Q9VP22","CDK12_DROME"
"CG7610","FBgn0020235","Drosophila melanogaster","O01666","ATPG_DROME"
"CG7619","FBgn0015283","Drosophila melanogaster","P55035","PSMD4_DROME"
"CG7622","FBgn0002579","Drosophila melanogaster","P49630","RL36_DROME"
"CG7639","FBgn0033989","Drosophila melanogaster","Q9V784","SAM50_DROME"
"CG7655","FBgn0038536","Drosophila melanogaster","Q9VEG9","NRM_DROME"
"CG7660","FBgn0261987","Drosophila melanogaster","Q9VEG6","PERC_DROME"
"CG7700","FBgn0044871","Drosophila melanogaster","Q9VE50","GOSR1_DROME"
"CG7726","FBgn0013325","Drosophila melanogaster","P46222","RL11_DROME"
"CG7740","FBgn0026189","Drosophila melanogaster","P82295","PROML_DROME"
"CG7765","FBgn0001308","Drosophila melanogaster","P17210","KINH_DROME"
"CG7808","FBgn0039713","Drosophila melanogaster","Q8MLY8","RS8_DROME"
"CG7840","FBgn0032014","Drosophila melanogaster","Q9VLP9","PORED_DROME"
"CG7872","FBgn0030658","Drosophila melanogaster","Q9VXT2","DJC25_DROME"
"CG7891","FBgn0037551","Drosophila melanogaster","Q9VHV5","ARL8_DROME"
"CG7917","FBgn0016685","Drosophila melanogaster","Q27415","NLP_DROME"
"CG7917","FBgn0016685","Drosophila melanogaster","Q27415","NLP_DROME"
"CG7939","FBgn0002626","Drosophila melanogaster","P04359","RL32_DROME"
"CG7962","FBgn0010350","Drosophila melanogaster","P56079","CDSA_DROME"
"CG8039","FBgn0037608","Drosophila melanogaster","Q9VHN6","RM19_DROME"
"CG8048","FBgn0262511","Drosophila melanogaster","Q9V7N5","VATC_DROME"
"CG8048","FBgn0262511","Drosophila melanogaster","Q9V7N5","VATC_DROME"
"CG8048","FBgn0262511","Drosophila melanogaster","Q9V7N5","VATC_DROME"
"CG8095","FBgn0003328","Drosophila melanogaster","O44386","ITA3_DROME"
"CG8095","FBgn0003328","Drosophila melanogaster","O44386","ITA3_DROME"
"CG8111","FBgn0035825","Drosophila melanogaster","Q9VSB9","TMM43_DROME"
"CG8135","FBgn0037689","Drosophila melanogaster","Q8MRQ4","LMBD2_DROME"
"CG8182","FBgn0034025","Drosophila melanogaster","Q6WV20","GALT1_DROME"
"CG8186","FBgn0022097","Drosophila melanogaster","Q9V7D2","VATD1_DROME"
"CG8189","FBgn0019644","Drosophila melanogaster","Q94516","AT5F1_DROME"
"CG8189","FBgn0019644","Drosophila melanogaster","Q94516","AT5F1_DROME"
"CG8200","FBgn0024754","Drosophila melanogaster","O61491","FLOT1_DROME"
"CG8200","FBgn0024754","Drosophila melanogaster","O61491","FLOT1_DROME"
"CG8261","FBgn0004921","Drosophila melanogaster","P38040","GBG1_DROME"
"CG8280","FBgn0000556","Drosophila melanogaster","P08736","EF1A1_DROME"
"CG8306","FBgn0034142","Drosophila melanogaster","Q960W6","FACR3_DROME"
"CG8308","FBgn0087040","Drosophila melanogaster","P06606","TBA4_DROME"
"CG8309","FBgn0033902","Drosophila melanogaster","Q7JVI3","EIF3M_DROME"
"CG8340","FBgn0010339","Drosophila melanogaster","P32234","128UP_DROME"
"CG8370","FBgn0034060","Drosophila melanogaster","Q9V7H4","TM131_DROME"
"CG8385","FBgn0010348","Drosophila melanogaster","P61209","ARF1_DROME"
"CG8386","FBgn0034061","Drosophila melanogaster","Q7K1Z5","UFC1_DROME"
"CG8415","FBgn0033912","Drosophila melanogaster","Q8T3U2","RS23_DROME"
"CG8416","FBgn0014020","Drosophila melanogaster","P48148","RHO1_DROME"
"CG8427","FBgn0023167","Drosophila melanogaster","O44437","SMD3_DROME"
"CG8443","FBgn0034087","Drosophila melanogaster","A1ZAB5","CLU_DROME"
"CG8472","FBgn0000253","Drosophila melanogaster","P62152","CALM_DROME"
"CG8495","FBgn0261599","Drosophila melanogaster","Q9VH69","RS29_DROME"
"CG8542","FBgn0001220","Drosophila melanogaster","P29845","HSP7E_DROME"
"CG8553","FBgn0261270","Drosophila melanogaster","O18373","SPS1_DROME"
"CG8597","FBgn0011640","Drosophila melanogaster","Q94901","LARK_DROME"
"CG8605","FBgn0035762","Drosophila melanogaster","Q9VS46","RINT1_DROME"
"CG8615","FBgn0035753","Drosophila melanogaster","Q9VS34","RL18_DROME"
"CG8625","FBgn0011604","Drosophila melanogaster","Q24368","ISWI_DROME"
"CG8635","FBgn0033317","Drosophila melanogaster","Q7JWR9","ZC3HF_DROME"
"CG8695","FBgn0002571","Drosophila melanogaster","P07192","MAL3_DROME"
"CG8705","FBgn0013726","Drosophila melanogaster","P40797","PNUT_DROME"
"CG8715","FBgn0020279","Drosophila melanogaster","Q86S05","LIG_DROME"
"CG8715","FBgn0020279","Drosophila melanogaster","Q86S05","LIG_DROME"
"CG8715","FBgn0020279","Drosophila melanogaster","Q86S05","LIG_DROME"
"CG8759","FBgn0086904","Drosophila melanogaster","Q94518","NACA_DROME"
"CG8764","FBgn0011227","Drosophila melanogaster","Q9XY35","QCR9_DROME"
"CG8798","FBgn0036892","Drosophila melanogaster","Q7KUT2","LONM_DROME"
"CG8798","FBgn0036892","Drosophila melanogaster","Q7KUT2","LONM_DROME"
"CG8804","FBgn0016078","Drosophila melanogaster","Q9V576","WUN_DROME"
"CG8804","FBgn0016078","Drosophila melanogaster","Q9V576","WUN_DROME"
"CG8827","FBgn0012037","Drosophila melanogaster","Q10714","ACE_DROME"
"CG8831","FBgn0033737","Drosophila melanogaster","Q9V6B9","NUP54_DROME"
"CG8857","FBgn0033699","Drosophila melanogaster","Q0E9B6","RS11_DROME"
"CG8882","FBgn0015834","Drosophila melanogaster","O02195","EIF3I_DROME"
"CG8893","FBgn0001092","Drosophila melanogaster","P07487","G3P2_DROME"
"CG8900","FBgn0010411","Drosophila melanogaster","P41094","RS18_DROME"
"CG8905","FBgn0010213","Drosophila melanogaster","Q00637","SODM_DROME"
"CG8922","FBgn0002590","Drosophila melanogaster","Q24186","RS5A_DROME"
"CG8946","FBgn0010591","Drosophila melanogaster","Q9V7Y2","SGPL_DROME"
"CG8967","FBgn0004839","Drosophila melanogaster","Q6AWJ9","PTK7_DROME"
"CG8977","FBgn0015019","Drosophila melanogaster","P48605","TCPG_DROME"
"CG9012","FBgn0000319","Drosophila melanogaster","P29742","CLH_DROME"
"CG9020","FBgn0027093","Drosophila melanogaster","Q9VXN4","SYRC_DROME"
"CG9022","FBgn0014868","Drosophila melanogaster","Q24319","OST48_DROME"
"CG9042","FBgn0001128","Drosophila melanogaster","P13706","GPDA_DROME"
"CG9042","FBgn0001128","Drosophila melanogaster","P13706","GPDA_DROME"
"CG9042","FBgn0001128","Drosophila melanogaster","P13706","GPDA_DROME"
"CG9042","FBgn0001128","Drosophila melanogaster","P13706","GPDA_DROME"
"CG9057","FBgn0030608","Drosophila melanogaster","Q9VXY7","LSD2_DROME"
"CG9070","FBgn0086519","Drosophila melanogaster","Q7JZV0","LCP2A_DROME"
"CG9075","FBgn0001942","Drosophila melanogaster","Q02748","IF4A_DROME"
"CG9091","FBgn0030616","Drosophila melanogaster","Q9VXX8","RL371_DROME"
"CG9124","FBgn0022023","Drosophila melanogaster","Q9U9Q4","EIF3H_DROME"
"CG9126","FBgn0045073","Drosophila melanogaster","P83094","STIM_DROME"
"CG9128","FBgn0035195","Drosophila melanogaster","Q9W0I6","SAC1_DROME"
"CG9132","FBgn0030791","Drosophila melanogaster","Q9VXB0","NECAP_DROME"
"CG9155","FBgn0010246","Drosophila melanogaster","Q23979","MY61F_DROME"
"CG9155","FBgn0010246","Drosophila melanogaster","Q23979","MY61F_DROME"
"CG9155","FBgn0010246","Drosophila melanogaster","Q23979","MY61F_DROME"
"CG9159","FBgn0028419","Drosophila melanogaster","Q9V447","KRH2_DROME"
"CG9181","FBgn0003138","Drosophila melanogaster","Q9W0G1","PTP61_DROME"
"CG9181","FBgn0003138","Drosophila melanogaster","Q9W0G1","PTP61_DROME"
"CG9181","FBgn0003138","Drosophila melanogaster","Q9W0G1","PTP61_DROME"
"CG9193","FBgn0005655","Drosophila melanogaster","P17917","PCNA_DROME"
"CG9206","FBgn0001108","Drosophila melanogaster","P13496","DCTN1_DROME"
"CG9231","FBgn0036887","Drosophila melanogaster","Q9VW12","U389_DROME"
"CG9258","FBgn0015776","Drosophila melanogaster","Q24046","ATPB1_DROME"
"CG9261","FBgn0015777","Drosophila melanogaster","Q24048","ATPB2_DROME"
"CG9261","FBgn0015777","Drosophila melanogaster","Q24048","ATPB2_DROME"
"CG9277","FBgn0003887","Drosophila melanogaster","Q24560","TBB1_DROME"
"CG9282","FBgn0032518","Drosophila melanogaster","Q9VJY6","RL24_DROME"
"CG9327","FBgn0261394","Drosophila melanogaster","P18053","PSA4_DROME"
"CG9375","FBgn0003205","Drosophila melanogaster","P08646","RAS1_DROME"
"CG9429","FBgn0005585","Drosophila melanogaster","P29413","CALR_DROME"
"CG9520","FBgn0032078","Drosophila melanogaster","Q7K237","C1GLT_DROME"
"CG9603","FBgn0040529","Drosophila melanogaster","Q9VHS2","COX7A_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9614","FBgn0003089","Drosophila melanogaster","Q86BJ3","PIPE_DROME"
"CG9633","FBgn0010173","Drosophila melanogaster","Q24492","RFA1_DROME"
"CG9677","FBgn0025582","Drosophila melanogaster","O77410","EIF3E_DROME"
"CG9680","FBgn0004556","Drosophila melanogaster","P26802","DDX51_DROME"
"CG9704","FBgn0004108","Drosophila melanogaster","P23654","NRT_DROME"
"CG9705","FBgn0036661","Drosophila melanogaster","Q9VVA0","Y9705_DROME"
"CG9739","FBgn0016797","Drosophila melanogaster","Q9VVX3","FRIZ2_DROME"
"CG9741","FBgn0000447","Drosophila melanogaster","P32748","PYRD_DROME"
"CG9748","FBgn0263231","Drosophila melanogaster","Q9VHP0","DDX3_DROME"
"CG9750","FBgn0040075","Drosophila melanogaster","Q9V3K3","RUVB2_DROME"
"CG9769","FBgn0037270","Drosophila melanogaster","Q9VN50","EI3F1_DROME"
"CG9805","FBgn0037249","Drosophila melanogaster","Q9VN25","EIF3A_DROME"
"CG9805","FBgn0037249","Drosophila melanogaster","Q9VN25","EIF3A_DROME"
"CG9888","FBgn0003062","Drosophila melanogaster","Q9W1V3","FBRL_DROME"
"CG9916","FBgn0004432","Drosophila melanogaster","P25007","PPIA_DROME"
"CG9946","FBgn0261609","Drosophila melanogaster","P41374","IF2A_DROME"
"CG9983","FBgn0001215","Drosophila melanogaster","P07909","ROA1_DROME"
"CG9983","FBgn0001215","Drosophila melanogaster","P07909","ROA1_DROME"
"CG9983","FBgn0001215","Drosophila melanogaster","P07909","ROA1_DROME"
"CG9983","FBgn0001215","Drosophila melanogaster","P07909","ROA1_DROME"
"CG9999","FBgn0003346","Drosophila melanogaster","Q9VIW3","RAGP1_DROME"
