Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
COTL1,4.9451,4.8474,1.0780,0.9849,0.4402,0.4563,0.3547,0.3248,0.3071,0.3075,55
COX10,1.0256,0.9602,0.4100,0.4675,1.3855,1.3428,2.4220,2.1434,1.2244,1.0294,1
COX11,0.5209,0.5277,0.3571,0.2767,1.5590,1.6524,2.3015,2.5483,0.8718,0.8886,13
COX14,0.6733,0.7759,0.4398,0.4014,1.4283,1.8075,2.1759,2.0878,1.1216,1.1929,4
COX15,0.6492,0.5559,0.2619,0.4203,1.4902,1.5596,2.4550,2.3786,0.9258,0.8571,27
COX16,0.8137,0.8326,0.5912,0.7570,1.2802,1.5235,2.0320,1.8477,0.9269,0.8933,21
COX17,0.5603,0.4647,1.8335,2.2823,0.8641,1.2681,0.8418,1.2713,0.4121,0.3976,27
COX18,0.3086,0.2624,0.2327,0.2873,1.5184,1.6573,2.8197,2.5475,0.9911,1.0815,8
COX19,0.6128,0.5939,1.6425,1.7196,1.0017,1.0456,1.1662,1.4136,0.7143,0.7495,15
COX20,0.5312,0.5677,0.5625,0.8536,1.4144,1.4514,2.1322,2.1229,0.9830,1.0062,27
COX4I1,0.5453,0.6025,0.5271,0.5790,1.4148,1.5699,2.0767,2.0595,0.9411,0.9303,260
COX5A,0.4810,0.5024,0.4495,0.5194,1.6036,1.5765,2.5448,2.3164,0.8964,0.7413,145
COX5B,0.7786,0.6227,0.6268,0.7399,1.4173,1.5102,2.1120,2.0313,0.8140,0.7601,125
COX6B1,0.6482,0.7112,0.7866,0.6235,1.5468,1.4741,1.7407,2.0307,0.8965,0.9014,36
COX6C,0.5031,0.4961,0.4696,0.5589,1.4920,1.5779,2.2610,2.1621,0.9318,0.9452,107
COX7A2,0.4796,0.4222,0.2359,0.2035,1.7286,1.7862,2.8678,2.5225,0.9736,0.9704,40
COX7A2L,0.4949,0.4959,0.2683,0.3164,1.5771,1.6163,2.5324,2.1793,1.0157,0.8568,20
COX7B,0.3271,0.4698,0.3622,0.4435,1.6231,1.6087,2.5889,2.1590,0.9186,0.7696,20
COX7C,0.4972,0.5290,0.6187,0.6234,1.5167,1.6245,2.1546,1.9085,0.9426,0.9433,32
CP,1.6021,2.1377,0.9268,1.1569,1.2482,1.2394,1.1099,0.8170,1.1247,1.0474,58
CPB2,0.7215,1.0076,0.9189,1.5449,1.1573,1.0981,1.0185,0.9036,1.3170,2.1531,2
CPD,0.5766,0.6248,0.3470,0.4105,0.8730,0.9330,1.9423,1.7123,2.4606,2.1800,98
CPE,0.7882,0.6570,0.7407,0.6218,0.9024,1.0655,1.5289,1.5344,1.9206,2.0131,14
CPEB2,1.6613,2.1453,1.1490,1.3704,0.8916,0.9649,0.8927,0.9055,1.1434,1.4070,11
CPEB3,1.5240,2.0752,0.9215,1.7145,0.7998,0.9730,0.8558,0.8405,1.3809,1.4743,1
CPEB4,0.9371,0.9778,0.9291,1.3455,1.1406,1.1863,1.1565,1.2237,1.6441,1.6826,5
CPLX1,4.2767,4.4499,1.4781,1.6231,0.4410,0.5201,0.4564,0.4397,0.1926,0.2982,2
CPM,0.5349,0.5084,0.4967,0.7001,1.2335,1.2993,1.9613,1.9238,1.6113,1.7019,10
CPN1,1.6297,0.7002,2.0675,2.2736,0.9041,1.1917,0.3281,0.7413,0.9817,0.4547,1
CPN2,1.7527,1.5554,0.9220,1.5287,1.0597,0.9908,1.0210,0.7951,1.3068,0.8352,3
CPNE1,4.0902,3.9953,1.3413,1.0408,0.6696,0.6460,0.5300,0.5761,0.4436,0.4932,39
CPNE2,3.8286,3.1296,1.4411,1.3753,0.7260,0.6585,0.7056,0.6574,0.6269,0.6104,14
CPNE3,4.0736,3.7143,1.1839,1.1287,0.6986,0.6408,0.6618,0.7156,0.5217,0.6078,211
CPNE4,3.0590,2.9005,1.3072,1.1454,0.6599,0.7341,0.7409,0.7042,0.6574,0.7111,7
CPNE7,3.4066,3.3302,1.2609,1.0524,0.7208,0.7428,0.8023,0.6487,0.7156,0.7722,4
CPOX,0.4387,0.5111,1.9407,1.5235,1.0253,1.2997,1.0565,1.3436,0.4662,0.4615,64
CPPED1,4.7459,4.7514,1.2648,1.0840,0.4182,0.4217,0.3937,0.3339,0.2972,0.2683,25
CPQ,0.3190,0.3623,0.7830,0.7088,1.1834,1.2808,0.9688,0.8841,2.6836,2.6834,7
CPS1,0.4941,0.5372,1.1204,0.8620,1.4200,1.6143,2.1071,1.9200,0.6006,0.6320,29
CPSF1,0.6192,0.5807,0.9815,0.8362,1.6041,1.7793,0.9216,1.0214,1.4721,1.4137,148
CPSF2,0.6949,0.7545,1.0393,0.8813,1.6622,1.7089,0.9374,1.0214,1.4250,1.3407,160
CPSF3,1.5869,1.4043,1.1340,1.0253,1.3971,1.3638,0.8603,0.8998,1.1396,1.1073,104
CPSF3L,0.7766,0.8338,1.2138,1.2206,1.1461,1.1186,0.8929,0.9271,1.4943,1.4428,41
CPSF4,0.4436,0.4269,0.8254,0.8720,1.6532,1.7362,0.9192,1.0013,1.5982,1.7453,45
CPSF6,0.6855,0.7132,2.1420,2.7460,0.7411,0.7484,0.4761,0.5273,0.4509,0.4694,97
CPSF7,0.8209,0.7668,2.2770,2.3851,0.8424,0.8658,0.6472,0.5918,0.5835,0.6215,100
CPT1A,0.5425,0.5181,0.4416,0.4939,1.4720,1.4645,2.1703,2.0968,1.1690,1.1703,211
CPT2,0.3607,0.3736,0.5503,0.4505,1.5464,1.6862,2.3139,2.2105,0.9302,0.8059,106
CRABP1,5.1425,4.8846,1.0033,0.8109,0.6119,0.5538,0.6613,0.5372,0.4259,0.4839,22
CRABP2,5.4109,5.0506,1.0162,0.9924,0.5009,0.4930,0.4556,0.4466,0.3465,0.3859,237
CRADD,4.8702,4.2881,1.0777,1.0525,0.5350,0.2983,0.4155,0.4006,0.3765,0.1538,3
CRAMP1L,0.6808,0.5745,0.8384,0.9536,0.7090,0.7720,0.7148,0.7448,2.8408,2.8332,27
CRAT,0.5962,0.7785,0.8192,0.6141,1.2172,1.3492,1.9163,1.8990,1.0350,1.1045,23
CRB3,0.1287,0.3217,0.5300,0.7083,0.7917,1.0056,1.7345,1.1964,3.0289,1.5068,5
CRBN,3.8499,3.6193,1.3264,0.9769,0.7630,0.6742,0.7971,0.7397,0.5722,0.6060,29
CRCP,0.7669,0.7817,1.8455,2.7720,0.4407,0.6438,0.3225,0.3710,0.3189,0.4525,8
CREB1,0.5861,0.4701,0.9945,1.1129,1.3622,1.7803,1.2360,1.2566,1.0000,1.0654,12
CREB3,0.5887,0.5880,0.4266,0.5696,1.4699,1.3866,2.1295,1.9922,1.5064,1.6094,2
CREB3L2,0.8177,0.9076,0.6698,0.6994,1.2559,1.2728,2.0759,1.8632,1.5624,1.5103,7
CREB3L4,0.8114,0.7144,0.7294,0.7435,1.2070,1.1551,2.1536,1.9525,1.3856,1.4171,12
CREBBP,0.6095,0.6307,2.5188,2.3922,0.6724,0.6613,0.5278,0.4730,0.4009,0.4340,83
CREBZF,0.6475,0.6305,1.8774,2.1523,0.8282,0.8043,0.7195,0.7709,1.0712,0.9979,20
CREG1,0.5764,0.9723,0.9609,1.1573,1.0882,1.0289,1.4580,1.6771,1.3419,1.0861,3
CREG2,0.6657,0.6204,0.6501,0.4898,0.8432,0.9396,1.6664,1.5205,2.3789,2.5327,3
CRELD1,0.3953,0.3309,0.3020,0.3040,1.3338,1.3274,2.0253,2.0837,1.6304,1.5881,16
CRELD2,0.5217,0.5299,1.2842,1.3968,0.9106,1.0422,1.5678,1.8754,0.8586,0.9808,24
CREM,1.1074,1.5699,0.7703,0.9506,1.2621,1.3392,1.1997,1.2092,1.0665,1.1293,6
CRIM1,0.3232,0.3275,0.5940,0.5545,1.1309,1.2641,1.7146,1.7241,1.8945,1.9079,12
CRIP2,3.5236,3.3026,1.6362,1.9347,0.4911,0.4977,0.4091,0.3876,0.3281,0.3411,176
CRIPT,1.4409,0.4651,1.7659,2.1068,0.7404,0.7838,0.5421,0.6273,0.6510,0.7982,6
CRISP3,1.7405,2.4599,1.0549,1.2809,1.0056,1.0286,1.2216,0.9135,1.1176,1.0842,1
CRISPLD2,0.5456,0.5742,0.5955,0.6716,1.1711,1.3237,1.2484,1.8596,1.5549,2.1789,12
CRK,4.0792,3.9523,1.5963,1.6060,0.4332,0.4807,0.3135,0.3691,0.2489,0.3322,58
CRKL,3.7989,3.7203,1.5171,1.5994,0.5404,0.5370,0.4290,0.4238,0.3460,0.4331,67
CRLF1,0.4535,0.9683,0.5542,0.6665,1.1437,1.0822,1.8234,1.8666,1.4420,1.4941,5
CRLF3,5.2483,4.9259,0.9899,0.9728,0.4615,0.4606,0.4485,0.4338,0.3472,0.3497,21
CRLS1,0.6624,0.5137,0.5226,0.6001,1.5203,1.5313,1.8760,2.2195,1.0468,0.9778,2
CRNKL1,0.5251,0.5100,1.0016,0.9730,1.4813,1.4852,0.9678,0.9875,1.8442,1.7558,115
CROCC,1.5327,1.6026,0.9899,1.1143,1.2113,1.2620,1.6263,1.3541,0.7082,0.7876,125
CROT,1.1910,1.0486,0.7369,0.6396,1.2044,1.3062,1.8268,1.9592,1.2158,1.2401,39
CRP,0.3708,0.3421,0.4814,0.9708,2.8657,0.9331,2.0355,0.4679,1.5685,2.0694,2
CRTAP,0.5753,0.4533,0.6866,0.7145,1.1969,1.1777,2.0319,2.0192,1.2835,1.3376,35
CRTC1,5.1474,4.6805,0.8196,0.9078,0.5010,0.5188,0.4338,0.4140,0.4200,0.3613,18
CRTC2,2.7482,2.6335,1.3729,1.6186,0.7106,0.7481,0.7772,0.7398,0.5402,0.5423,14
CRTC3,2.6630,2.5798,1.2482,1.2536,0.8733,0.8203,0.8285,0.8656,0.5770,0.6721,10
CRY1,1.0430,1.0595,1.9960,1.5822,1.1079,0.9681,0.9368,1.0198,0.8065,0.8951,11
CRY2,1.0017,0.9001,1.8754,1.5614,1.0806,0.8845,0.6736,0.8000,1.0261,0.7681,10
CRYAA,4.2741,3.4633,1.1646,2.1928,0.4764,0.6075,0.3820,0.4759,0.3083,0.4237,1
CRYBG3,2.0487,2.1063,0.9188,1.0866,1.0268,0.9176,1.1414,1.1068,1.0465,1.0473,8
CRYL1,4.6544,4.5231,1.4754,1.0218,0.5189,0.4509,0.4246,0.4299,0.3559,0.3976,24
CRYZ,1.6723,1.5746,1.1771,1.0668,1.0961,1.2335,1.4688,1.4129,0.6645,0.6105,49
CRYZL1,3.8084,3.6364,1.6712,1.5536,0.4797,0.4600,0.3805,0.4222,0.4253,0.4280,17
CS,0.6244,0.6308,1.2003,0.9949,1.3357,1.4868,1.8986,1.8031,0.6231,0.5829,238
CSAD,5.0736,4.5828,1.1443,1.0650,0.6009,0.4874,0.6405,0.4784,0.3596,0.4124,4
CSDE1,2.3108,2.2409,1.4018,1.4232,0.7157,0.7183,0.6201,0.6221,1.0945,1.2465,429
CSE1L,3.6343,3.0662,1.0604,1.0798,0.7765,0.7934,0.8718,0.9154,0.6220,0.7870,376
CSGALNACT1,0.3917,0.7016,0.3347,0.3453,0.8105,1.0046,2.0541,1.9014,2.4113,2.0824,4
CSGALNACT2,0.9148,0.6804,0.5325,0.5174,1.0125,1.0127,1.7743,1.6410,2.1076,1.5184,21
CSK,5.6241,5.2145,0.8006,0.8059,0.5557,0.5229,0.4989,0.5500,0.4036,0.4870,74
CSNK1A1,0.9271,0.9182,0.7648,0.6662,1.5000,1.3697,1.6121,1.6053,1.0215,1.0690,61
CSNK1D,1.0366,0.8502,1.1593,1.1996,1.2850,1.2642,1.1326,1.1894,1.1990,1.3288,10
CSNK1E,1.1598,1.2257,0.7976,0.9421,1.3566,1.4252,1.3256,1.5129,1.1763,1.3881,1
CSNK1G1,2.9700,4.5406,1.1551,1.1431,0.6784,0.7072,0.7094,0.8325,0.7663,0.6391,1
CSNK1G2,0.4730,0.4978,0.4545,0.4295,1.3751,1.2588,2.2760,1.9934,2.3321,1.3232,5
CSNK1G3,0.5065,0.3315,0.3408,0.3700,1.3032,1.2079,1.9790,1.9503,1.9387,1.9432,11
CSNK2A1,1.7991,1.7490,1.8416,1.6476,0.8520,0.8406,0.6588,0.6260,0.7336,0.8645,18
CSNK2A2,1.9911,1.9157,1.8084,1.3908,0.8404,0.8354,0.7669,0.7577,0.6760,0.7136,51
CSNK2B,1.0240,0.8408,2.6901,1.6567,1.1718,0.8172,1.0198,0.8407,0.6983,0.4219,1
CSPG5,0.8488,0.7176,0.6819,0.7008,1.1897,1.2176,1.9291,1.6808,1.4154,1.5197,6
CSPP1,1.1091,1.0464,1.5101,1.8370,0.9201,0.8979,1.0138,1.0311,1.1406,1.2311,26
CSRNP2,1.0443,1.0637,1.7765,1.6047,0.8162,0.7554,0.8853,0.9094,1.4862,1.4014,2
CSRP1,4.1711,3.9224,1.3911,1.3523,0.4553,0.4651,0.3879,0.3709,0.3797,0.3740,129
CSRP2,1.4397,1.4437,2.3270,2.6673,0.6126,0.6211,0.4628,0.4649,0.3581,0.3933,21
CSRP2BP,0.6760,0.6308,1.8187,1.6484,1.0196,1.0415,0.8219,0.9000,1.3008,1.1575,23
CSRP3,5.6394,5.4296,1.5134,1.1426,0.3489,0.3206,0.2330,0.2624,0.1820,0.2143,6
CST3,0.8299,0.8572,0.7290,0.7907,0.8884,0.9399,1.6094,1.5312,1.8905,1.9213,25
CST6,4.4896,0.4981,0.5033,0.3604,1.0145,1.4563,1.6327,1.1253,1.3725,1.3214,1
CSTA,7.5338,5.9155,0.6807,0.5452,0.2997,0.3087,0.3401,0.3216,0.2689,0.2560,29
CSTB,5.1845,4.9864,0.6575,0.6434,0.4475,0.4484,0.4880,0.4527,0.3815,0.4302,92
CSTF1,1.0476,1.0588,1.3505,1.4455,1.3683,1.4871,0.8212,0.9637,0.8079,0.8860,92
CSTF2,0.6855,0.7062,1.4712,1.8669,1.2584,1.4867,0.7019,0.7566,0.9077,0.9197,70
CSTF2T,1.4251,1.3852,1.4371,1.5352,1.3269,1.4657,0.6784,0.7660,0.7395,0.7904,21
CSTF3,0.4154,0.3916,1.3179,1.0421,1.7902,1.9679,0.8636,1.0126,0.8846,0.9611,118
CTAGE5,4.5920,4.0126,0.6191,0.7960,0.5552,0.4813,1.2123,0.7662,1.3976,0.6812,1
CTBP1,0.8036,0.7507,1.9001,2.2596,0.8593,0.9654,0.7643,0.7943,0.6553,0.6712,47
CTBP2,0.7361,0.6527,2.2037,2.3306,0.8901,0.8790,0.7076,0.7223,0.6323,0.6064,52
CTBS,0.6301,0.6412,1.4422,1.2398,0.7618,0.9277,1.4191,1.5659,1.3992,1.4155,20
CTC1,1.7506,1.4300,1.8584,1.4585,0.9532,0.9126,0.9430,0.8572,0.9884,0.9805,9
CTCF,0.4695,0.4861,0.5816,0.6418,1.0529,1.1862,0.6259,0.6628,2.9322,2.7632,133
CTDNEP1,1.6076,1.5206,0.4397,0.3909,1.3194,1.2241,1.4572,1.6184,1.3102,1.1603,6
CTDP1,1.1468,1.0688,2.2908,1.9301,0.9033,0.7815,0.8310,0.8191,0.6244,0.6351,56
CTDSP1,0.6162,0.6344,0.2456,0.2288,1.4186,1.3316,2.6301,2.4697,1.7006,1.4372,13
CTDSP2,0.3152,0.4093,0.3226,0.3039,1.3728,1.1860,1.9884,1.9373,1.9211,2.0818,7
CTDSPL,0.3520,0.4191,0.2552,0.2073,1.4014,1.3578,2.0762,2.2970,1.9418,1.2872,4
CTDSPL2,0.4260,0.4891,0.3956,0.4624,2.7503,2.5381,1.3437,1.3729,0.4334,0.5015,30
CTGF,2.6019,2.5752,0.9957,1.3791,0.6928,0.8508,0.7523,0.7838,1.0115,1.0795,4
CTH,4.0099,3.9067,1.1478,1.0934,0.7404,0.6770,0.6713,0.5498,0.5896,0.5766,15
CTIF,3.6207,3.5167,0.8338,0.6451,0.5999,0.5990,0.6174,0.6745,1.1222,1.0623,8
CTNNA1,0.9274,0.9239,0.4577,0.4574,1.3709,1.3519,2.0738,2.0010,1.2469,1.3806,349
CTNNA2,0.8570,0.9991,0.4761,0.6689,1.5547,1.5104,1.7976,1.9354,0.9179,1.0109,8
CTNNAL1,1.2243,1.1582,0.8168,0.7888,1.3209,1.3349,1.7189,1.7753,0.8800,1.0395,42
CTNNB1,0.7155,0.7014,0.5144,0.6714,1.4620,1.3619,2.0625,1.9863,1.2668,1.1918,104
CTNNBIP1,5.1125,4.6325,1.1403,1.2830,0.4519,0.4104,0.3428,0.2909,0.2961,0.3328,12
CTNNBL1,0.7338,0.7356,1.6079,1.1633,1.2744,1.2076,1.0697,1.0940,0.9594,0.9360,89
CTNND1,0.6204,0.6570,0.5754,0.6237,1.4133,1.3550,1.9961,1.8910,1.1275,1.1541,241
CTNND2,0.7160,0.7603,0.5626,0.6044,1.4346,1.4510,1.9943,1.8706,1.1475,1.2201,43
CTPS1,5.1749,4.8120,0.7036,0.7422,0.5067,0.5527,0.5369,0.5648,0.4320,0.4393,81
CTPS2,5.0888,4.4999,0.8502,0.9388,0.6220,0.6186,0.6545,0.6387,0.5364,0.4596,68
CTR9,0.5386,0.4774,1.9037,1.7091,1.3197,1.4277,0.7590,0.8268,0.6547,0.6886,104
CTSA,0.6072,0.5879,1.0755,0.9358,0.9210,1.0172,1.4857,1.7258,1.5270,1.6910,40
CTSB,0.5583,0.5551,1.5321,1.2893,0.7593,0.8863,1.2447,1.4986,1.2315,1.5040,95
CTSC,0.6265,0.5058,1.6435,1.0361,0.8931,0.9953,1.1646,1.5908,1.2122,1.5709,19
CTSD,0.6076,0.6169,1.4074,1.4086,0.8758,0.9257,1.4214,1.4390,1.1833,1.1803,106
CTSF,0.4687,0.3024,0.6437,0.5555,1.0522,1.0350,1.9460,1.7473,1.7508,1.8841,5
CTSH,0.5897,0.6959,1.1448,1.0163,0.9535,0.9930,1.5830,1.6813,1.4307,1.5257,41
CTSK,0.3981,1.0394,0.3318,0.5297,1.1451,1.3585,1.1029,1.9919,2.2274,2.2429,1
CTSL,0.6354,0.6605,1.2775,1.4397,0.7857,0.8584,1.2768,1.5709,1.2032,1.3767,31
CTSV,0.6525,0.5748,1.0729,1.1800,0.8636,0.9190,1.4203,1.4728,1.5816,1.6550,14
CTSZ,1.2053,1.0282,1.8676,1.4734,0.7010,0.7307,1.0413,1.4439,1.4207,1.5768,4
CTTN,3.9872,3.8878,1.0173,1.3447,0.5722,0.6171,0.6127,0.5775,0.5471,0.6031,375
CTTNBP2NL,1.9266,1.8662,1.8024,2.1604,0.7027,0.7384,0.5977,0.6260,0.6001,0.6063,66
CTU1,3.8935,2.9901,0.7915,0.9421,0.4835,0.7260,0.5701,0.4369,0.6107,0.4935,6
CTU2,4.7688,4.4178,0.7870,0.7783,0.5890,0.6083,0.6280,0.7161,0.5508,0.5272,19
CTXN1,1.9642,1.8489,0.6118,0.7104,0.8898,1.0616,1.3450,1.5821,1.7811,1.4099,1
CUEDC1,1.9467,1.6931,1.2662,1.2885,0.8043,0.9269,1.0131,0.9895,1.0797,1.2706,23
CUEDC2,3.5224,3.4316,1.4727,1.6861,0.6009,0.6096,0.4864,0.4510,0.3561,0.4110,18
CUL1,2.4002,2.0445,1.6323,1.4285,0.8805,0.8147,0.7569,0.7892,0.7738,0.7553,132
CUL2,2.7885,2.6052,1.5123,1.1764,0.8991,0.8229,0.8201,0.8701,0.7324,0.8132,98
CUL3,2.9397,2.6742,1.3797,1.0700,0.8564,0.7936,0.8872,0.9349,0.7594,0.7511,166
CUL4A,2.4677,2.3026,1.1991,0.9171,1.3092,1.2981,0.8415,0.8788,0.6707,0.7158,78
CUL4B,1.2491,1.2436,1.4849,1.2106,1.5169,1.4192,0.9976,1.0079,0.6684,0.7757,108
CUL5,2.8083,2.7189,1.4543,1.0357,0.8836,0.8252,0.8793,0.9397,0.7313,0.8282,61
CUL7,3.5194,3.3224,0.9754,0.8705,0.8056,0.7980,0.8482,0.8427,0.7391,0.7679,47
CUL9,3.6416,3.1462,0.7662,0.8280,0.7588,0.7656,0.8344,0.8943,1.1584,1.2426,14
CUTA,2.6099,2.6924,1.3159,1.4485,0.7406,0.7068,0.7735,0.6821,0.5561,0.4745,42
CUTC,0.7253,0.7086,2.8244,2.3929,0.7169,0.6842,0.4559,0.4300,0.4698,0.6004,14
CUX1,0.4566,0.4939,0.7580,0.8131,1.1947,1.2587,1.6653,1.6038,1.6617,1.6021,266
CWC15,0.5310,0.5693,1.7362,2.0877,1.0502,1.3420,0.6288,0.6175,0.7736,0.8125,41
CWC22,0.5353,0.5147,0.7334,0.6814,1.7199,1.7259,1.2269,1.2308,1.4920,1.4764,89
CWC25,0.6316,0.5749,1.0216,0.9538,1.4184,1.5966,1.2278,1.2130,1.3130,1.3977,24
CWC27,0.6764,0.7761,1.8522,2.2735,0.9969,0.9879,0.7388,0.6764,0.7503,0.8255,89
CWF19L1,0.7441,0.8444,2.3472,1.8369,0.9049,0.7650,0.7308,0.7665,0.8135,0.8167,66
CWF19L2,0.6821,0.6671,1.3092,1.2385,1.0392,0.9988,0.9208,0.8978,1.7365,1.7364,48
CXADR,0.4184,0.4486,0.3953,0.3212,1.6542,1.3261,2.4481,2.0949,1.4972,1.4820,6
CXCL12,0.8823,1.0217,0.5083,0.6500,1.0087,0.9523,1.4863,1.5603,2.1629,2.0536,6
CXCL16,0.4595,0.5509,0.7716,0.6585,1.6205,1.2937,1.8876,1.7167,1.5569,1.5337,2
CXCR4,1.1118,1.1991,0.5804,0.9722,1.1636,0.9589,2.0569,1.8338,1.5470,1.1900,2
CXorf23,0.5019,0.4993,0.4903,0.4965,1.7734,1.8878,1.1669,1.1148,1.9895,1.6747,20
CXorf38,4.2270,4.1769,1.0372,0.9466,0.6948,0.5845,0.7843,0.7427,0.5469,0.5719,20
CXorf40A,2.5505,2.4250,1.1656,0.4832,1.4287,0.5886,2.7160,1.5280,0.4538,0.2872,1
CXorf56,0.6689,0.7940,2.1407,1.9437,1.0692,1.0231,0.6252,0.6598,0.8086,0.8899,42
CXXC1,0.5147,0.4890,2.0743,2.3038,0.9451,0.9296,0.5857,0.6614,0.6594,0.7792,43
CXXC5,0.4687,0.5354,0.6572,0.8476,1.6786,1.8696,1.5062,1.6921,0.7694,0.8410,17
CYB561,0.5969,0.6237,0.6241,0.8143,0.9133,0.9480,1.4883,1.3826,2.1152,2.1129,47
CYB561A3,1.1926,1.0534,0.9839,1.0470,0.7617,0.8562,1.3587,1.0945,1.9671,1.7290,3
CYB5A,0.8275,0.7539,0.5436,0.6853,1.1848,1.2406,1.8785,1.7109,1.4002,1.4528,60
CYB5B,0.5519,0.5471,0.4558,0.5490,1.3238,1.3577,2.0260,1.9376,1.3962,1.4427,122
CYB5D2,0.4676,0.3423,0.4228,0.6422,1.5669,1.3431,1.9191,2.1862,1.6204,1.4183,4
CYB5R1,0.4279,0.4601,0.3395,0.3242,1.6743,1.6253,2.3893,2.3510,1.0001,0.9097,87
CYB5R3,0.5565,0.5490,0.4088,0.4685,1.3448,1.3763,1.9521,2.0634,1.4173,1.3565,165
CYB5R4,3.7967,3.8998,1.0287,0.8708,0.7614,0.6524,0.6319,0.6515,0.5469,0.4948,25
CYBA,0.8080,0.9027,0.6079,0.6398,1.3315,1.1239,1.9167,1.6978,1.5523,1.1695,8
CYC1,0.6758,0.6278,0.4195,0.5092,1.4761,1.5210,2.4158,2.2117,0.9588,0.9091,170
CYCS,0.4459,0.5452,3.2259,1.6890,0.8737,0.7861,0.6959,0.8080,0.3585,0.3825,69
CYFIP1,2.3253,1.9860,0.7675,0.6103,0.8693,0.8557,1.3319,1.3586,1.2155,1.4412,90
CYFIP2,1.8364,1.6064,0.7531,0.7313,1.0193,0.9678,1.5093,1.5312,1.2835,1.3221,53
CYHR1,0.6997,0.6349,1.8426,2.7205,0.7584,0.7713,0.6993,0.7159,0.6345,0.5866,28
CYLD,2.6253,2.7724,0.9380,0.8661,0.9748,0.9702,0.7315,0.8302,0.6687,1.1751,3
CYP1A1,0.6465,0.7373,0.4820,0.4447,1.2544,1.3033,1.9519,2.0498,1.7057,1.7389,13
CYP1B1,0.4944,0.5178,0.4732,0.5025,1.3364,1.3366,1.9543,2.0203,1.4401,1.4324,105
CYP20A1,0.4679,0.4435,0.2965,0.3345,1.3702,1.3126,2.1053,2.0792,1.6579,1.6635,69
CYP24A1,1.5882,1.6171,0.6552,0.6595,1.4384,1.3884,1.8816,1.7758,0.8139,0.8129,4
CYP27B1,0.5434,0.5660,0.8912,0.8633,1.4482,1.3632,2.5638,2.1005,0.9784,0.6464,2
CYP2J2,0.4366,0.4657,0.3667,0.3187,1.2288,1.3472,2.2544,2.0058,1.5574,1.6104,8
CYP2R1,0.9706,0.9680,0.5837,0.7102,1.0696,1.3261,2.0780,1.8985,1.6565,1.5001,4
CYP2S1,0.3027,0.1314,0.1997,0.2532,1.3942,1.3929,2.4011,2.1805,1.8682,1.6662,3
CYP2U1,0.7416,0.7097,0.4815,0.6124,1.3242,1.3540,2.1357,2.0589,1.6334,1.3335,13
CYP4F11,0.4902,0.5666,0.4235,0.3912,1.3976,1.3963,1.7176,2.1744,1.7280,1.8167,17
CYP4V2,0.3100,0.5583,2.1490,2.4677,0.7078,0.7081,0.7916,0.7502,0.9586,1.3103,1
CYP4Z1,1.9466,1.9101,1.4957,1.9180,0.8395,0.7724,0.8646,0.6782,0.8277,0.6770,4
CYP51A1,0.3716,0.4033,0.2657,0.2824,1.2901,1.3775,2.1282,2.1522,1.6489,1.6653,104
CYR61,0.3811,0.4583,0.5893,0.8916,1.0299,1.3162,1.2201,1.5783,1.9054,2.5751,9
CYSTM1,1.0511,1.0596,0.4765,0.6024,1.1968,0.9964,1.9954,1.6592,1.9103,1.7087,7
CYTH1,3.5706,3.2995,1.1046,1.0685,0.8109,0.8797,0.8595,0.8431,0.6673,0.5891,14
CYTH2,2.8643,2.3974,1.3899,1.6214,0.7202,0.7325,0.5387,0.8320,0.5483,0.5978,9
CYTH3,2.7362,3.0028,1.3195,1.3757,0.8477,0.8902,0.9143,0.8707,0.5772,0.7244,2
D2HGDH,0.5855,0.6042,1.1237,0.8098,1.4196,1.3672,2.2392,1.8861,0.6845,0.6536,35
DAAM1,0.3815,0.4030,0.3524,0.3870,1.4265,1.3841,2.4228,2.2047,1.3851,1.4729,77
DAB2IP,2.3690,2.0244,0.9630,1.1957,1.0242,1.0138,1.0635,1.0850,0.9095,1.1957,25
DACH1,0.6938,0.9317,1.2914,0.9540,1.4407,1.4321,1.3837,1.2133,1.2966,1.2446,2
DAD1,0.6440,0.6941,0.5416,0.7282,1.4079,1.3477,1.9827,1.9928,1.3136,1.1575,66
DAG1,0.5150,0.5762,0.7512,0.7496,1.1045,1.1159,2.0294,1.8175,1.4103,1.4591,57
DAGLA,0.6023,0.5533,0.5087,0.4400,1.3497,1.2086,1.8287,2.0597,1.4413,1.5298,6
DAGLB,0.9020,0.9132,0.5533,0.5081,0.9357,0.8533,1.4684,1.3955,2.4536,1.9062,64
DAK,4.2504,3.8348,1.3069,1.1317,0.5896,0.5449,0.5511,0.4997,0.3620,0.4044,84
DALRD3,4.4877,4.2769,0.6984,0.8141,0.9310,0.8160,0.8781,0.8103,0.4888,0.6792,2
DAP,3.8461,3.0548,1.4240,1.5310,0.5282,0.5938,0.4896,0.4777,0.4525,0.4158,27
DAP3,0.6383,0.6288,0.6359,0.6161,1.3344,1.4876,1.9109,1.8295,1.4701,1.2118,87
DAPK1,0.8859,0.8815,2.4056,1.5789,1.2141,0.9089,0.8800,1.1513,0.8199,0.5092,1
