Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
PCDHA11,0.4388,0.5355,0.3559,0.3679,1.2307,1.3077,2.2091,1.9340,1.6759,1.8014,16
PCDHA13,0.5472,0.5368,0.5269,0.7504,1.1563,1.3009,1.6765,1.8901,1.5244,1.6867,10
PCDHA6,0.5057,0.5148,0.4429,0.4204,1.2228,1.2244,1.9078,2.0532,1.8187,1.9532,10
PCDHAC2,0.3150,0.2720,0.2280,0.6423,1.2921,1.1256,2.0140,2.2461,1.6905,2.2697,1
PCDHB10,0.8403,0.9033,0.4880,0.4629,1.3547,1.3368,1.9855,1.9035,1.5282,1.6920,2
PCDHB11,0.4201,0.4854,0.3718,0.2722,1.4309,1.3976,2.5113,2.3284,1.4553,1.6350,1
PCDHB13,0.4287,0.7237,0.5464,0.6475,1.2728,1.1531,1.7384,1.5131,1.6133,1.5886,5
PCDHB14,0.7229,0.8774,0.3935,0.4818,1.2392,1.0978,2.3208,2.1403,1.6131,1.8157,7
PCDHB16,1.1098,1.2924,1.0625,1.1416,1.0236,1.1481,1.1149,1.2227,1.2148,1.8358,2
PCDHB2,0.3025,0.3453,0.4385,0.5320,1.1414,1.1483,2.0197,1.9318,1.6218,1.4692,8
PCDHB3,0.4956,0.5559,0.4259,0.4862,1.1223,1.2294,2.0482,2.0047,1.7613,1.7514,10
PCDHB8,0.8656,0.6618,0.3781,0.4298,1.3432,1.2531,2.1724,2.1463,1.5925,1.4489,8
PCDHGA2,0.6943,0.5891,1.0092,1.2633,1.0998,1.2222,1.5389,1.5391,1.3250,1.4946,1
PCDHGA7,1.1616,1.1113,2.4219,2.4331,0.7004,0.9879,0.8213,0.9734,0.1902,0.2044,1
PCDHGA9,0.5708,1.6109,1.4166,1.7422,1.0610,0.9671,1.1744,0.9597,1.1793,1.1390,1
