"AT1G14670";0.0978;0.2428;0.4424;0.217;0.111417;0.32;0.222083;0.346667;"GA"
"AT1G19360";0.108714;0.214;0.473857;0.203286;0.1138;0.3121;0.21815;0.3559;"GA"
"AT1G19430";0.203;0.237571;0.357571;0.201857;0.14375;0.31625;0.2095;0.331;"GA"
"AT1G26850";0.162432;0.265946;0.374919;0.196649;0.142643;0.318946;0.212214;0.326161;"GA"
"AT1G27930";0.146;0.262;0.4004;0.1914;0.177875;0.313625;0.204875;0.303625;"GA"
"AT1G29470";0.160889;0.243889;0.368444;0.226778;0.13881;0.318476;0.204524;0.338333;"GA"
"AT1G29790";0.194333;0.233583;0.370833;0.201167;0.155;0.309167;0.201333;0.334583;"GA"
"AT1G30000";0.206167;0.245167;0.334833;0.213667;0.168923;0.304385;0.208077;0.318846;"GA"
"AT1G31850";0.186167;0.214333;0.375333;0.224333;0.1456;0.321;0.2077;0.3257;"GA"
"AT1G49710";0.1872;0.217;0.3956;0.1998;0.131667;0.303111;0.211889;0.353556;"GA"
"AT1G51590";0.17275;0.218125;0.394125;0.214875;0.133526;0.309158;0.205684;0.351684;"GA"
"AT1G51630";0.153043;0.263087;0.375087;0.208696;0.144297;0.322324;0.209297;0.324027;"GA"
"AT1G55130";0.171667;0.223167;0.407667;0.197333;0.145;0.301333;0.200333;0.353;"GA"
"AT1G55850";0.403724;0.232759;0.185483;0.178103;0.329211;0.252947;0.162632;0.255105;"GA"
"AT1G72480";0.13925;0.251;0.40125;0.209;0.154333;0.3285;0.213;0.304667;"GA"
"AT1G74380";0.231;0.173;0.399;0.197;0.1526;0.2978;0.214;0.3358;"GA"
"AT1G78240";0.145;0.251;0.424;0.1805;0.144429;0.296286;0.228714;0.33;"GA"
"AT1G78920";0.227875;0.251625;0.32425;0.196375;0.172875;0.31825;0.208312;0.3005;"GA"
"AT2G01270";0.1536;0.2486;0.3674;0.23;0.120857;0.321714;0.212143;0.345;"GA"
"AT2G01970";0.112167;0.262833;0.448833;0.176333;0.113857;0.329286;0.223095;0.333714;"GA"
"AT2G04280";0.10375;0.263;0.441;0.192375;0.1106;0.3374;0.2334;0.3184;"GA"
"AT2G20370";0.2002;0.2642;0.3508;0.1846;0.153909;0.318818;0.196818;0.330545;"GA"
"AT2G22900";0.147318;0.261591;0.365182;0.225727;0.123273;0.326909;0.231455;0.318227;"GA"
"AT2G34300";0.109;0.329375;0.3505;0.211125;0.152;0.325091;0.189636;0.333273;"GA"
"AT2G35610";0.2024;0.221333;0.344933;0.231267;0.1285;0.298611;0.220667;0.352222;"GA"
"AT2G38650";0.1325;0.2465;0.438;0.1825;0.1465;0.2998;0.2109;0.3426;"GA"
"AT2G40280";0.302;0.25;0.269;0.179;0.11;0.332;0.2135;0.3445;"GA"
"AT2G47650";0.199;0.262;0.347;0.192;0.1494;0.3082;0.1946;0.3478;"GA"
"AT3G02350";0.138667;0.232333;0.440333;0.188667;0.129333;0.308778;0.215556;0.346222;"GA"
"AT3G07330";0.218;0.237;0.357;0.188;0.1575;0.3225;0.1995;0.321;"GA"
"AT3G13772";0.220467;0.220133;0.3436;0.215933;0.131667;0.3206;0.217867;0.3298;"GA"
"AT3G21160";0.276;0.186;0.326;0.211;0.127571;0.315714;0.213571;0.343143;"GA"
"AT3G21190";0.148692;0.269231;0.373846;0.208077;0.161211;0.311632;0.195947;0.331368;"GA"
"AT3G23300";0.167429;0.248857;0.369857;0.214;0.1557;0.3098;0.2092;0.3256;"GA"
"AT3G25140";0.13475;0.2335;0.46025;0.17125;0.1184;0.3248;0.223;0.3336;"GA"
"AT3G26370";0.1765;0.2455;0.3705;0.20775;0.159429;0.315571;0.207571;0.317286;"GA"
"AT3G27220";0.219667;0.221722;0.332389;0.226111;0.164;0.310048;0.196333;0.329571;"GA"
"AT3G27230";0.136;0.2405;0.4205;0.203;0.11725;0.32175;0.229;0.332;"GA"
"AT3G28480";0.178;0.222;0.439;0.1605;0.1306;0.3416;0.2178;0.3102;"GA"
"AT3G48820";0.251;0.226667;0.302;0.219667;0.132889;0.299333;0.214111;0.353556;"GA"
"AT3G49720";0.1335;0.235;0.455;0.176;0.135636;0.318455;0.211455;0.334273;"GA"
"AT3G53520";0.204625;0.213188;0.3695;0.2125;0.138786;0.313857;0.215286;0.332143;"GA"
"AT3G56750";0.206571;0.217143;0.327;0.249;0.167;0.309333;0.201667;0.322;"GA"
"AT3G61130";0.201;0.2465;0.379643;0.173071;0.142882;0.328059;0.215353;0.313824;"GA"
"AT3G66654";0.161267;0.2166;0.403067;0.2188;0.1298;0.3158;0.2031;0.3515;"GA"
