Protein,FS1 A H322,FS1 B H322,FS2 A H322,FS2 B H322,FP1 A H322,FP1 B H322,FP2 A H322,FP2 B H322,FP3 A H322,FP3 B H322,MIN PSMs for quant
PLEKHN1,0.6301,0.7274,0.6838,0.6147,1.4062,1.3461,1.528,1.4466,1.1283,1.0794,21
PLEKHO2,4.1985,4.2715,1.2271,1.3357,0.5884,0.6446,0.6462,0.5441,0.4487,0.4833,5
PLG,1.2888,1.6452,0.7482,0.6948,0.6837,0.9043,1.3909,1.0533,2.7197,0.9776,48
PLGRKT,0.4766,0.4875,0.4207,0.4164,1.1459,1.0923,2.3292,2.2089,0.7415,0.7626,39
PLIN2,1.0652,0.6661,0.9644,0.8028,0.6918,0.8237,1.4936,1.1864,1.8872,1.4374,15
PLIN3,3.7968,4.0798,0.8533,0.8526,0.579,0.6225,0.761,0.7464,0.8583,0.83,393
PLK1,1.0275,1.0206,0.9748,0.9473,1.1434,1.1429,1.2706,1.2877,1.2228,1.1842,67
PLK4,1.2543,1.1514,0.9717,0.9671,1.2778,1.1601,1.5391,1.3422,0.9558,0.887,2
PLLP,0.4101,0.4278,0.8898,0.7732,1.231,1.3276,1.3406,1.4755,1.5936,1.5005,1
PLN,0.7914,0.7,1.4344,1.1812,1.3606,0.9706,0.813,0.6259,1.801,2.0304,1
PLOD1,0.5046,0.5251,1.0862,1.0841,1.066,0.9335,1.7053,1.3722,1.182,1.2265,85
PLOD2,0.5002,0.4588,1.4068,1.4385,1.0314,0.9126,1.7015,1.3403,0.982,1.0589,52
PLOD3,0.4346,0.3924,1.1512,1.2257,1.071,0.9178,1.6782,1.3434,1.1688,1.2043,53
PLP2,0.5173,0.5543,0.6826,0.6738,1.2558,1.2169,1.5587,1.4587,1.2252,1.1233,45
PLRG1,0.3924,0.3649,0.7055,0.693,1.7029,1.7584,0.6574,0.6957,2.1184,1.8417,129
PLS1,1.7509,1.7394,1.347,1.3408,1.1424,1.2761,1.0336,1.1312,0.5527,0.5961,266
PLS3,3.0305,3.105,1.586,1.5633,0.6728,0.7093,0.7634,0.8032,0.5004,0.5565,498
PLSCR1,0.8626,0.9183,0.5558,0.5357,1.4108,1.4564,1.524,1.4987,1.2085,1.0605,25
PLSCR4,1.3985,1.715,1.0211,0.787,0.8472,1.3922,1.2094,1.091,1.3096,1.2939,1
PLTP,0.8564,0.6248,0.6669,0.6407,0.9842,1.3792,1.776,1.1094,1.5579,1.2252,40
PLXNA1,0.4344,0.4465,0.3119,0.2911,1.3773,1.3661,1.8781,1.7766,1.2392,1.2552,57
PLXNA2,0.5974,0.5718,0.3673,0.3804,1.4219,1.3348,1.7416,1.6818,1.1746,1.1869,40
PLXNA3,0.2997,0.2754,0.3427,0.3664,1.2803,1.3852,1.8794,1.8875,1.2957,1.3723,4
PLXNB1,0.8467,0.8029,0.5485,0.5263,1.3595,1.3178,1.5668,1.5503,1.0894,1.1487,15
PLXNB2,0.5129,0.5079,0.3857,0.3901,1.3977,1.3361,1.7774,1.7301,1.1706,1.1901,411
PLXND1,0.4851,0.5881,0.5767,0.4548,1.3482,1.3895,1.779,1.5761,1.4557,1.4197,21
PM20D2,3.8815,4.2983,1.4439,1.4989,0.5913,0.6941,0.5096,0.5379,0.4301,0.4346,46
PMAIP1,0.7109,0.6105,0.5241,0.5014,1.1825,1.1066,2.0432,1.8451,1.1601,1.13,2
PMEPA1,0.6617,0.7835,0.3829,0.3282,1.1964,1.0311,1.6391,1.4031,1.9193,1.8856,1
PML,0.7742,0.7592,1.3702,1.3948,1.7072,1.7573,0.7954,0.7876,0.8004,0.7822,71
PMM1,4.3876,4.6381,1.2125,1.1879,0.5068,0.625,0.7234,0.6186,0.4411,0.4235,6
PMM2,4.5541,5.2305,1.2366,1.2444,0.467,0.4605,0.4725,0.4723,0.4087,0.43,87
PMPCA,0.5621,0.5753,0.8832,0.9216,1.1065,1.0817,2.0373,1.7937,0.6974,0.664,207
PMPCB,0.4644,0.4558,0.847,0.9075,1.1031,1.0957,2.0555,1.8669,0.6978,0.7002,152
PMS1,0.7882,0.8538,1.9615,1.7387,0.7964,0.8203,1.088,1.1633,1.0425,1.1264,40
PMS2,0.6042,0.66,2.2861,2.0113,0.829,0.8345,0.9843,1.0655,0.9351,1.0553,46
PMVK,4.0776,4.5685,0.8535,0.9461,0.5061,0.5666,0.7151,0.7026,0.6503,0.6956,33
PNISR,0.4646,0.4168,2.7694,2.3791,1.1503,1.1384,0.6763,0.6391,0.6389,0.668,40
PNKD,0.6,0.5696,0.4625,0.4921,1.0989,1.1023,1.8242,1.6437,1.1521,1.1358,38
PNKP,0.8197,0.8993,1.8101,1.8194,0.8949,0.9448,0.8611,0.8841,1.3007,1.1118,69
PNMA1,2.5566,2.9223,0.984,1.0165,0.679,0.7533,0.7693,0.9058,1.0878,1.0712,7
PNN,0.4387,0.4387,0.4241,0.4228,2.4673,2.6447,0.8813,0.9129,0.8182,0.8214,311
PNO1,0.5902,0.5922,0.638,0.6349,1.659,1.7147,0.924,0.9317,1.7321,1.5082,35
PNP,4.363,4.6382,1.3143,1.2861,0.5259,0.5325,0.5307,0.5268,0.5224,0.4988,175
PNPLA2,1.7991,1.8902,0.7244,0.7982,0.7387,0.789,1.3869,1.2805,1.2326,1.2413,19
PNPLA4,0.5826,0.6343,0.5894,0.5773,1.0762,1.0004,2.0421,1.9491,0.9251,0.8835,23
PNPLA6,0.5578,0.4818,0.4468,0.4816,1.1756,1.1175,1.8602,1.6411,1.199,1.3482,49
PNPLA7,0.5646,0.6521,0.5771,0.6754,1.3565,1.2057,1.6561,1.4908,1.323,1.3754,6
PNPLA8,0.5291,0.4855,0.4554,0.4367,1.0901,1.0776,2.1703,1.9908,1.0335,1.0595,15
PNPO,3.8099,4.521,1.272,1.2258,0.5928,0.5249,0.7217,0.6253,0.5523,0.564,37
PNPT1,0.4563,0.4795,0.8668,0.8932,1.1012,1.0541,2.1398,1.848,0.7546,0.6956,295
POC1A,1.1572,1.076,0.9448,0.97,0.925,0.9363,1.4423,1.4112,1.4795,1.1113,6
POC1B,0.4986,0.5534,0.4827,0.4836,1.0334,1.072,2.2129,2.0687,1.1651,1.0221,16
POC5,1.2194,1.169,0.4952,0.5451,0.9621,1,1.8825,1.8945,1.0538,0.772,5
PODN,1.9025,1.4648,1.2138,1.2823,1.075,1.1706,0.9588,1.043,0.9326,1.0716,3
PODXL,0.2828,0.2179,0.3116,0.3224,1.3649,1.381,1.4267,1.3698,1.9573,1.7753,28
POF1B,1.0982,1.176,1.0656,0.9663,1.6003,1.6983,1.1605,1.2663,0.5549,0.6006,88
POFUT1,0.7016,0.6932,1.4616,1.4584,1.0123,0.9141,1.5525,1.3025,0.9553,0.9705,81
POFUT2,0.6124,0.6778,1.4374,1.452,1.0174,0.9511,1.4891,1.2148,0.9181,0.9878,51
POGK,0.5384,0.5809,2.1714,1.9649,0.8565,0.8951,0.9071,0.9837,1.0428,1.0635,45
POGLUT1,0.6686,0.7244,1.3609,1.3177,1.0087,0.9167,1.5532,1.2209,1.1487,1.1309,44
POGZ,0.4223,0.4317,0.7389,0.7748,2.591,2.7109,0.7878,0.8247,0.5776,0.5919,72
POLA1,0.7647,0.8131,2.4847,2.2447,0.8335,0.8534,0.8162,0.8303,0.9105,0.8902,67
POLA2,1.7469,2.0376,1.9999,1.9162,0.7902,0.7767,0.6885,0.7535,0.7906,0.8164,26
POLB,0.7917,0.8864,2.6333,2.3983,0.7417,0.8368,0.6907,0.6902,0.968,0.8964,53
POLD1,0.8667,0.8757,2.3479,2.1141,0.7886,0.8173,0.8225,0.8631,0.8858,0.8504,88
POLD2,0.7114,0.7537,2.1435,2.2243,0.8511,0.8497,0.8987,0.8706,0.8263,0.8719,31
POLD3,0.5723,0.6512,2.673,2.6234,0.8432,0.8735,0.767,0.7101,0.7925,0.793,16
POLD4,0.713,0.8653,2.873,3.3308,0.7551,0.7185,0.4545,0.4586,0.6919,0.7986,7
POLDIP2,0.6156,0.5558,0.8471,0.8563,1.0972,1.1001,1.9717,1.781,0.712,0.6678,107
POLDIP3,0.311,0.3455,0.8296,0.7436,1.8942,2.2476,0.9017,0.9329,1.239,1.0872,61
POLE,0.6994,0.6172,1.9897,1.8223,0.9098,0.9853,0.913,0.9717,1.1924,1.1623,119
POLE2,0.8096,0.8457,1.7484,1.8899,0.8828,0.9564,0.9268,0.9716,1.2665,1.1073,15
POLE3,2.5132,2.6579,1.8176,1.6143,0.9038,0.9328,0.4889,0.5109,0.8425,0.7818,39
POLE4,2.416,2.8457,2.0154,1.848,0.6086,0.7222,0.8096,0.8176,0.6055,0.5751,13
POLG,0.4883,0.454,0.8273,0.8573,1.0915,1.0709,2.0094,1.851,0.7554,0.8096,69
POLG2,0.3403,0.3282,0.7874,0.847,1.0985,1.0353,2.1017,1.859,0.6746,0.6335,23
POLH,1.3179,0.9169,2.1965,1.8646,0.6982,0.6745,0.6046,0.6024,1.9097,1.5054,1
POLI,2.1166,2.5797,1.5445,1.3736,0.7444,0.7305,0.8947,0.9724,0.8913,0.8728,19
POLK,0.638,0.7353,1.7226,1.6041,0.9114,0.9707,1.142,1.1166,1.2294,1.1446,16
POLL,1.9207,2.3882,1.9372,1.7936,0.6025,0.9156,0.8137,0.8475,0.7708,0.8192,3
POLM,1.9714,2.1419,1.5369,1.5233,0.8466,0.9051,0.7108,0.729,1.0569,0.954,6
POLQ,0.9254,0.808,1.0964,1.1933,1.046,1.0639,0.9194,0.8681,2.0642,1.8055,3
POLR1A,0.6978,0.6977,0.5858,0.5544,1.8129,1.8578,0.7303,0.7577,1.7881,1.6471,215
POLR1B,0.5406,0.5526,0.5267,0.5004,1.9609,2.0047,0.6971,0.7337,1.8015,1.6365,95
POLR1C,1.6331,1.6749,0.792,0.8437,1.3382,1.3781,0.6649,0.6971,1.4798,1.3993,61
POLR1D,1.5544,1.6278,0.8736,0.9331,1.2792,1.4484,0.6873,0.6996,1.4243,1.3762,36
POLR1E,0.4981,0.5281,0.5615,0.5618,1.4643,1.4568,0.7974,0.8209,2.3781,2.012,85
POLR2A,0.4896,0.499,0.8419,0.8488,2.3201,2.3637,0.6966,0.6787,0.9721,0.9815,248
POLR2B,1.4483,1.4724,0.8919,0.9228,1.8711,1.9429,0.6814,0.6901,0.8555,0.8961,169
POLR2C,1.1817,1.2147,0.7914,0.8634,2.0816,2.1207,0.7764,0.7267,0.8603,0.8619,48
POLR2D,0.7572,0.6967,0.8658,0.9237,2.5282,2.4549,0.654,0.5704,0.8103,0.844,24
POLR2E,0.7432,0.765,0.8591,0.8667,1.7399,1.8429,0.7611,0.7478,1.4315,1.3583,41
POLR2F,0.6963,0.6361,1.0045,0.7966,1.9408,1.6103,0.6805,0.7563,1.6794,1.5452,4
POLR2G,0.5388,0.6119,0.6859,0.8147,2.2966,2.4862,0.7102,0.7612,0.8779,0.9295,26
POLR2H,2.2772,2.3897,0.9395,1.0092,1.3516,1.3328,0.6483,0.6319,1.0215,0.9448,82
POLR2I,1.096,1.112,0.8908,0.9397,2.3216,2.5477,0.4979,0.5501,0.7251,0.8034,16
POLR2K,1.7608,1.9289,0.7738,0.7723,1.5603,1.6945,0.6282,0.6344,1.3019,1.2179,18
POLR2L,1.3093,1.1267,0.9398,0.9765,1.4897,1.5676,0.797,0.7996,1.3732,1.4094,8
POLR2M,3.6543,3.5741,1.1654,1.2053,0.5609,0.6076,0.6083,0.6665,1.0258,1.0649,4
POLR3A,0.5645,0.5711,1.1457,1.1001,1.0744,1.0576,0.7657,0.78,2.2469,1.9609,109
POLR3B,0.7032,0.6919,1.2261,1.1414,1.0168,1.0461,0.7501,0.8295,2.2515,1.9501,52
POLR3C,0.9957,0.9988,1.2888,1.2268,1.0122,0.9737,0.8682,0.8703,1.7662,1.554,48
POLR3D,0.7688,0.7166,1.2687,1.2459,0.9815,1.0038,0.7055,0.7184,2.3785,2.084,40
POLR3E,0.8238,0.8134,1.1811,1.1552,1.0025,0.9834,0.7863,0.8439,2.2238,1.8447,35
POLR3F,0.7508,0.6443,1.2885,1.0724,1.1121,1.1291,0.876,0.827,1.9349,1.7474,9
POLR3G,1.1879,1.1791,1.8581,1.7146,0.912,0.9104,0.6523,0.7635,1.6555,1.3857,7
POLR3H,0.9909,0.9949,1.1673,1.1525,1.0303,0.9805,0.8046,0.8458,2.1477,1.8683,10
POLR3K,1.2457,1.2297,1.2336,1.2027,0.9258,0.9055,0.6775,0.6729,2.2178,1.8611,8
POLRMT,0.4795,0.4866,0.4985,0.4949,0.9475,0.9267,1.9665,1.7149,1.4095,1.3284,55
POM121,0.2955,0.2557,0.4115,0.4086,2.2863,2.8873,0.8335,0.9515,0.6976,0.6505,12
POM121C,0.0495,0.094,0.111,0.1102,3.0872,3.8048,0.8541,0.9101,0.248,0.2774,1
POMGNT1,0.658,0.7051,0.5809,0.5906,0.8569,0.8703,1.697,1.6142,1.9686,1.6359,39
POMGNT2,0.6515,0.5263,0.4896,0.4332,1.2056,1.1596,1.5726,1.7111,1.2147,1.3164,16
POMK,0.34,0.3692,0.3366,0.2576,1.3185,1.2063,1.9231,1.7296,1.3832,1.4197,38
POMP,2.3233,2.5368,1.1998,1.3666,0.7912,0.8558,1.1155,1.0159,0.7717,0.7931,19
POMT1,0.7004,0.7572,0.4465,0.4305,1.299,1.3163,1.7215,1.5828,1.0592,1.2241,10
POMT2,1.4946,1.3098,0.6184,0.5652,1.2224,1.0938,1.5925,1.4316,1.0311,1.1523,8
PON1,0.5336,0.5125,0.5628,0.4413,0.7504,1.0175,2.0123,1.2971,2.4352,1.4017,15
PON2,0.565,0.4837,0.364,0.3379,1.2128,1.1874,1.8912,1.7672,1.1675,1.303,92
PON3,0.4891,0.4593,0.4701,0.3951,0.7613,1.0354,1.9604,1.2718,2.4545,1.4067,12
POP1,0.3831,0.37,0.7932,0.6912,1.3681,1.3659,0.6176,0.5827,2.6499,2.2864,218
POP4,0.5833,0.5419,1.2577,1.1323,0.9976,1.0611,0.5807,0.5574,2.4472,2.128,21
POP5,0.593,0.5834,1.5378,1.3822,0.926,1.0537,0.5764,0.5957,2.1292,1.8575,13
POP7,0.6354,0.7327,1.0179,0.7728,1.0296,1.1376,0.8673,0.9733,2.3694,1.9194,6
POR,0.4956,0.4955,0.3952,0.3868,1.2288,1.1454,1.8351,1.6639,1.324,1.3665,202
PORCN,0.3288,0.4131,0.2812,0.2899,1.2546,1.1552,2.2284,1.8394,1.3006,1.3723,10
POSTN,2.8343,0.5379,1.6374,1.1054,0.9436,0.9906,0.9653,1.0246,0.9309,1.1144,164
POT1,1.2484,1.3144,1.3444,1.3023,1.7473,1.8274,0.7402,0.8003,0.679,0.7285,7
POTEF,2.3457,2.5528,1.3094,1.2255,0.7231,0.7456,0.7216,0.7332,0.5247,0.4742,10
POTEI,1.7221,2.1199,1.2344,1.0796,1.1874,1.1626,1.2065,1.152,0.6967,0.6348,30
POTEJ,1.7729,2.0232,1.2735,1.1618,1.0935,1.0788,1.1426,1.0951,0.8152,0.7502,80
POU2F1,0.743,0.7768,2.9231,2.4845,0.8521,0.8233,0.6347,0.6966,0.5682,0.5857,12
PPA1,5.0228,5.4988,1.3726,1.3377,0.3836,0.4035,0.3964,0.376,0.3329,0.3317,387
PPA2,0.6624,0.6885,1.0579,1.0836,1.082,1.034,1.9993,1.826,0.5373,0.506,378
PPAN,1.2875,1.3798,0.54,0.5734,2.2646,2.4922,0.7489,0.7062,0.8259,0.8258,1
PPAP2A,0.3972,0.411,0.2836,0.2326,1.553,1.5326,1.843,1.8274,1.2426,1.0627,3
PPAP2B,0.1585,0.2184,0.2462,0.4129,1.7907,1.2418,1.5094,1.428,1.2656,1.2135,2
PPAP2C,0.5344,0.573,0.5053,0.4897,1.5316,1.5148,1.4724,1.5044,1.3397,1.174,21
PPAPDC1B,0.5942,0.7254,0.516,0.493,0.9051,0.9503,1.5009,1.4331,1.9325,1.7331,3
PPAPDC2,0.5727,0.5996,0.3992,0.4461,1.2712,1.3159,1.7159,1.6465,1.148,1.2731,10
PPARD,1.1132,1.1909,1.4206,1.2218,0.8716,1.0162,1.0287,1.0326,1.0645,1.3525,3
PPAT,4.279,4.92,1.3545,1.4923,0.4489,0.4841,0.4614,0.4612,0.4439,0.4744,65
PPCDC,4.0428,4.6743,1.2489,1.3187,0.4623,0.5098,0.5383,0.5733,0.6342,0.5908,22
PPCS,4.3705,4.628,1.2095,1.1454,0.4696,0.5239,0.5776,0.5823,0.5123,0.5479,45
PPDPF,2.0384,1.5991,1.1424,1.212,0.7022,0.8491,1.1206,1.457,0.5473,0.6384,2
PPFIA1,1.5802,1.6495,0.869,0.9148,0.9882,1.0139,1.3295,1.3636,1.0026,1.0419,165
PPFIA3,2.5576,2.4399,1.0366,1.1155,0.8449,0.8315,1.0393,1.0565,0.8682,0.9133,29
PPFIA4,0.9935,0.9493,0.9829,1.0421,1.2628,1.3841,1.3857,1.293,1.0443,1.0299,2
PPFIBP1,1.3877,1.3133,0.8692,0.9742,0.9351,0.9904,1.4143,1.4327,1.1502,1.1314,304
PPFIBP2,1.5281,1.6124,0.9496,1.0198,0.9326,0.9095,1.2494,1.1895,1.2917,1.2452,40
PPHLN1,0.4382,0.4746,0.5366,0.5658,2.3063,2.5204,0.8736,0.9261,0.8651,0.9538,57
PPIA,4.89,5.2678,1.2069,1.3109,0.4127,0.4479,0.4479,0.4403,0.3894,0.3876,438
PPIB,0.4172,0.4129,1.2378,1.2579,1.063,0.9674,1.592,1.277,1.1743,1.2083,913
PPIC,0.4718,0.4498,1.1308,1.2005,1.0541,1.0076,1.7607,1.4223,1.1444,1.1028,29
PPID,4.0393,4.1314,1.4626,1.5071,0.5098,0.6115,0.5472,0.5872,0.5263,0.546,97
PPIE,0.9729,0.9808,1.318,1.1753,1.7255,1.729,0.6501,0.6687,1.1154,1.0664,59
PPIF,0.408,0.4438,0.8873,0.9234,1.1171,1.1095,2.1449,1.904,0.6695,0.6286,133
PPIG,0.5269,0.5502,1.2791,1.2971,1.9038,1.8477,0.7073,0.7293,0.8873,0.9615,102
PPIH,1.9295,2.0056,1.0321,1.0151,1.2662,1.3393,0.6438,0.6153,1.4143,1.244,74
PPIL1,2.175,2.2121,1.0976,1.1153,1.3684,1.4802,0.7379,0.725,0.83,0.787,81
PPIL2,0.7112,0.5762,1.555,1.3537,1.5759,1.7499,0.7597,0.8111,0.9067,0.9462,34
PPIL3,3.0251,3.4066,1.0578,1.0332,1.1136,1.2322,0.5808,0.5816,0.7679,0.7245,22
PPIL4,1.1441,1.1874,2.8066,2.4961,0.8422,0.9068,0.5608,0.5644,0.6515,0.5886,66
PPIP5K1,3.5763,3.5823,0.9956,1.156,0.6373,0.7041,0.7736,0.7264,0.6575,0.6813,14
PPIP5K2,3.8892,4.0414,1.5004,1.5029,0.5122,0.5445,0.5905,0.5876,0.5793,0.5504,47
PPL,0.7102,0.6939,1.4603,1.3958,1.2753,1.3282,1.0945,1.1142,0.9882,0.9488,2304
PPM1A,4.2852,4.5862,1.1329,1.1931,0.5432,0.6019,0.5573,0.5768,0.5083,0.5171,61
PPM1B,3.9393,4.4439,1.1567,1.2488,0.5492,0.5468,0.6315,0.6117,0.5765,0.563,43
PPM1D,0.9311,0.7923,1.096,0.8289,2.2404,2.319,0.8089,0.732,0.7071,0.6922,4
PPM1F,3.1843,3.157,0.9534,1.0478,0.8051,0.8623,0.7949,0.6996,0.6413,0.624,29
PPM1G,1.7335,2.1335,2.8218,2.2912,0.6554,0.6438,0.6063,0.5428,0.5359,0.4939,228
PPM1H,3.4646,3.8881,1.1714,1.0649,0.5469,0.6445,0.8494,0.817,0.7405,0.7368,20
PPM1K,0.3231,0.3332,0.6585,0.7494,1.4211,1.7109,1.8581,1.5839,1.0523,0.8569,2
PPM1L,0.5527,0.6279,0.3858,0.3696,0.8792,0.9093,1.8048,1.6927,1.8388,1.6516,37
PPME1,4.6995,4.9618,1.4039,1.3227,0.4532,0.4954,0.4411,0.4307,0.4041,0.3876,52
PPOX,0.7775,0.8126,0.6625,0.6266,1.0906,1.064,1.9381,1.8111,0.8825,0.8871,88
PPP1CA,1.4744,1.511,1.2082,1.227,1.2739,1.2713,0.9993,1.0306,0.9205,0.8391,72
PPP1CB,1.7734,1.837,1.1874,1.1986,1.1803,1.1959,0.9767,0.9762,0.9082,0.8695,81
PPP1CC,0.9581,1.0307,0.9934,0.9858,1.4293,1.4891,1.1468,1.0866,1.1275,1.0671,34
PPP1R10,0.3636,0.3979,1.2227,1.3959,2.0094,2.001,0.6995,0.6834,0.8998,0.8693,85
PPP1R11,3.1784,3.3214,1.4828,1.348,0.7025,0.7678,0.7482,0.6908,0.585,0.6581,14
PPP1R12A,1.9914,2.0504,1.9406,1.9107,0.8116,0.8583,0.7773,0.7701,0.6837,0.639,198
PPP1R12B,1.4682,1.5297,1.6925,1.5977,1.0849,1.0416,0.9537,0.9149,0.7699,0.6938,29
PPP1R12C,1.378,1.2372,1.9561,2.0369,0.9121,0.9462,0.8283,0.8581,0.7032,0.689,57
PPP1R13B,2.8362,2.4843,1.3906,1.4598,0.7369,0.8673,0.7523,0.8357,0.6643,0.6707,15
PPP1R13L,3.461,3.5963,1.0688,1.2024,0.641,0.7264,0.7898,0.8555,0.5737,0.6471,83
PPP1R14B,3.7002,4.1352,1.1328,1.1111,0.6992,0.7012,0.7282,0.647,0.7185,0.6171,31
PPP1R14C,5.6163,6.2074,1.3405,1.307,0.2768,0.2965,0.2841,0.2986,0.26,0.2296,3
PPP1R15A,1.6068,1.9297,1.325,1.2765,1.0108,0.7515,1.2733,1.0828,0.7641,1.1631,1
PPP1R15B,0.4332,0.4694,0.9623,0.9637,1.0521,1.0215,1.7805,1.6402,1.2124,1.2158,10
PPP1R16A,0.5476,0.5982,0.6849,0.6212,1.3962,1.2814,1.5249,1.4375,1.2448,1.1622,18
PPP1R18,0.7108,0.7214,1.3207,1.2566,1.4476,1.3577,1.2792,1.2416,0.6725,0.701,51
PPP1R2,4.0477,4.0989,1.4987,1.4368,0.5567,0.5533,0.5486,0.5558,0.5074,0.5295,53
PPP1R21,2.4932,2.5376,1.6566,1.6038,0.6416,0.6648,0.7725,0.8453,0.8954,0.8914,96
PPP1R26,0.5937,0.5929,0.8178,0.9712,1.6632,1.4653,1.0727,1.1959,1.3204,1.2374,5
PPP1R35,2.3003,2.0442,1.1799,1.2415,0.7935,0.8786,1.0444,1.0163,1.0554,0.9689,6
PPP1R37,1.5896,1.6343,2.0367,1.8704,0.6633,0.7121,0.9071,0.8772,1.0173,0.9028,35
PPP1R3D,1.7498,1.5923,0.9146,0.9942,0.5258,0.5632,0.7125,0.6889,2.4877,2.2261,8
PPP1R3F,0.977,1.1221,0.749,0.8099,1.0569,0.9729,1.2856,1.2458,1.8503,1.6103,2
PPP1R7,4.0808,4.4866,1.3221,1.3787,0.5313,0.5183,0.5237,0.5041,0.4512,0.4461,103
PPP1R8,1.0177,1.1385,1.7248,1.682,1.4693,1.4169,0.6831,0.6516,0.663,0.6171,64
PPP1R9A,0.2796,0.3321,0.5034,0.5292,1.8051,1.8091,1.5912,1.5957,0.9318,0.8856,82
PPP1R9B,0.5689,0.5996,0.704,0.7417,1.6802,1.6649,1.5479,1.4651,0.8166,0.7915,85
PPP2CB,2.5912,2.6385,1.4575,1.4841,0.8618,0.8637,0.74,0.729,0.9034,0.8529,8
PPP2R1A,2.9224,3.0029,1.324,1.3232,0.7536,0.7901,0.7832,0.828,0.7203,0.764,316
PPP2R1B,2.9664,3.1656,1.1092,1.1444,0.7534,0.8037,0.8481,0.9222,0.7814,0.8852,59
PPP2R2A,3.8725,4.059,1.4225,1.4232,0.5644,0.5968,0.5939,0.5839,0.5343,0.5478,37
PPP2R2C,1.6639,1.6809,1.6726,1.5121,0.8543,0.8795,0.8564,0.8902,1.2888,1.1039,1
PPP2R2D,1.7817,1.7263,0.9386,1.0959,1.4845,1.4811,0.4118,0.4335,1.7329,1.5117,1
PPP2R3A,3.0676,3.1678,1.02,1.0645,0.6641,0.7977,0.9168,0.9309,0.8858,0.9469,9
PPP2R3B,2.8963,3.0166,1.1792,1.1287,0.8014,0.89,0.9045,0.8693,0.7699,0.8901,2
PPP2R3C,1.516,1.4439,1.3033,1.3649,0.8187,0.8737,1.3078,1.2891,1.0741,0.9739,13
PPP2R4,4.7016,4.8792,1.2249,1.1975,0.4718,0.5114,0.4825,0.483,0.4858,0.4674,95
PPP2R5A,2.715,2.649,1.1784,1.1688,0.7482,0.8069,0.9207,1.0696,0.8377,0.9533,30
PPP2R5B,1.9797,2.0752,1.11,1.0401,0.8002,0.8676,1.026,1.2399,1.0623,1.1278,10
PPP2R5C,1.8587,1.844,1.0604,1.0534,1.0094,1.0671,1.0951,1.205,0.997,1.0628,55
PPP2R5D,3.5938,3.9499,1.0086,0.9622,0.6168,0.623,0.7734,0.8833,0.7174,0.7856,60
PPP2R5E,2.7428,2.6235,1.1618,1.207,0.7414,0.8195,0.9604,1.089,0.8388,0.9225,90
PPP3CA,1.7763,1.8578,1.0468,1.0754,1.0879,1.0574,1.1248,1.1263,0.979,0.9624,94
PPP3CB,1.9905,1.9939,1.25,1.2191,0.9236,0.862,1.0877,1.088,0.9168,0.9151,23
PPP3CC,1.1932,1.3217,0.8839,0.8684,1.1665,1.0812,1.3615,1.1751,1.2085,1.0783,7
PPP3R1,1.762,1.918,1.0373,1.1443,1.1125,1.1332,1.1551,1.0824,0.9857,0.9176,2
PPP4C,1.8523,1.7653,2.3438,2.3533,0.714,0.748,0.5697,0.5934,0.5364,0.5414,50
PPP4R1,2.8956,2.8901,1.2842,1.3165,0.6374,0.7179,0.8529,0.9743,0.7303,0.8498,88
PPP4R2,0.5175,0.5061,3.3914,3.1761,0.7634,0.7525,0.4796,0.5055,0.581,0.5754,117
PPP5C,4.4474,4.4317,1.3217,1.3756,0.4953,0.5021,0.4742,0.4859,0.4869,0.4809,154
PPP6C,3.6855,3.4713,1.3873,1.4913,0.5623,0.6373,0.6075,0.6211,0.576,0.5971,59
PPP6R1,4.0122,3.7556,0.9201,1.0181,0.5667,0.637,0.757,0.88,0.8375,0.8783,55
PPP6R2,3.8175,4.1762,1.0006,1.1636,0.5456,0.6149,0.7,0.7474,0.7389,0.7917,21
PPP6R3,3.7037,3.8356,1.4462,1.5192,0.5004,0.5595,0.5412,0.5754,0.5899,0.6421,130
PPRC1,0.1356,0.282,0.7163,0.9606,2.6187,2.6548,0.8419,0.9422,0.728,0.6556,1
PPT1,0.5158,0.5202,1.1171,1.1072,0.7512,0.7528,1.9224,1.6535,1.2369,1.0703,50
PPTC7,0.4595,0.4935,0.5704,0.6702,1.1425,1.1149,2.3552,1.9756,0.623,0.6484,23
PPWD1,0.989,1.0306,2.2076,1.9616,1.314,1.4369,0.6574,0.6412,0.6998,0.6833,91
PQBP1,0.5102,0.527,2.3497,1.9681,1.4405,1.3858,0.5855,0.5944,0.8116,0.7515,43
PQLC1,0.3852,0.3398,0.3562,0.3425,1.0904,1.0464,1.8776,1.7279,1.5789,1.4503,8
PRADC1,0.3822,0.3768,0.4433,0.3685,1.4445,1.2906,1.8638,1.7895,1.2803,1.2136,3
PRAME,0.738,0.7206,1.9589,1.838,0.8526,0.7775,1.0301,1.1489,1.0932,1.185,6
PRC1,0.6368,0.6265,1.7222,1.7051,1.0136,1.0789,1.0247,0.9995,1.2062,1.0121,62
PRCC,0.6389,0.6619,2.7754,2.557,1.0414,1.1623,0.5842,0.5759,0.692,0.5699,47
PRCP,0.6373,0.5445,1.3812,1.1611,0.7862,0.7519,1.7504,1.5164,1.1905,1.0504,18
PRDM10,0.2858,0.3596,0.6369,0.6273,2.0251,1.9711,0.9865,0.9921,1.3299,1.4238,39
