Protein,FS1 A H322,FS1 B H322,FS2 A H322,FS2 B H322,FP1 A H322,FP1 B H322,FP2 A H322,FP2 B H322,FP3 A H322,FP3 B H322,MIN PSMs for quant
EFCAB14,0.3082,0.2926,0.3475,0.2724,0.9225,0.8278,2.065,1.7509,1.7992,1.7169,41
EFCAB2,4.7074,4.9265,1.1882,1.3384,0.4674,0.4918,0.5823,0.5922,0.4017,0.3891,3
EFCAB4A,1.1589,1.0686,0.6731,0.557,1.3506,1.3674,1.5093,1.4317,1.1048,1.1708,17
EFCAB7,1.2535,1.1814,1.1096,1.1749,0.7215,0.6688,0.7824,0.7453,2.1548,1.7784,14
EFEMP1,0.6908,0.4969,1.1671,1.0496,1.2232,1.0888,1.2411,1.1834,1.3321,1.3269,68
EFEMP2,1.4769,1.1035,1.7188,0.9685,1.0405,0.9521,1.161,1.0278,1.0579,1.3756,2
EFHD1,1.8788,2.0315,0.4594,0.4918,1.483,1.4573,1.4168,1.3726,0.7051,0.6581,57
EFHD2,3.5618,3.7405,0.9176,0.9662,0.8019,0.8325,0.7942,0.808,0.5425,0.5795,49
EFNA1,1.1869,0.844,1.0899,0.927,1.2382,1.1618,1.3299,1.2323,1.0055,1.0037,7
EFNA5,0.9563,1.0301,1.0754,1.0386,1.1165,1.1758,1.3849,1.3803,1.1392,1.0306,5
EFNB1,0.7831,0.904,0.804,0.7098,1.3402,1.3402,1.5947,1.5038,1.0148,0.9204,13
EFNB2,0.691,0.7799,0.7143,0.6225,1.4441,1.3485,1.5595,1.5944,0.9684,0.9484,14
EFR3A,0.5099,0.5137,0.3876,0.3778,1.5828,1.6239,1.7378,1.7826,0.972,1.0031,54
EFR3B,1.1426,1.2222,0.8354,0.7529,1.3254,1.2597,1.3182,1.2891,1.0838,1.0823,11
EFTUD1,3.0302,2.9403,1.3704,1.4993,0.559,0.6547,0.7629,0.8781,0.7681,0.8677,138
EFTUD2,0.7312,0.7155,0.7554,0.74,1.999,2.051,0.7377,0.7377,1.2443,1.2592,311
EGFL7,0.3972,0.4283,0.5249,0.4978,1.0362,1.0315,1.7416,1.471,1.731,1.5476,9
EGFR,0.5502,0.5659,0.4271,0.413,1.4562,1.4313,1.7046,1.6542,1.1207,1.1059,336
EGLN1,3.2676,3.2448,1.813,1.9854,0.5348,0.633,0.5011,0.5522,0.6059,0.6117,26
EHBP1,3.481,3.51,1.102,1.2541,0.6172,0.7223,0.8052,0.8661,0.6581,0.7192,106
EHBP1L1,0.7849,0.8348,0.8644,0.8659,1.0266,1.0256,1.4504,1.3921,1.5272,1.2712,239
EHD1,3.0366,3.1546,0.9752,1.0774,0.6784,0.7215,0.8905,0.9754,0.7857,0.8703,192
EHD2,1.5928,1.7519,1.1876,1.0751,0.8242,0.8302,1.2262,1.2079,1.0675,1.1203,68
EHD3,1.3175,1.2248,1.4338,0.866,1.2377,1.0131,1.0096,1.0907,0.8042,1.2711,4
EHD4,2.8408,2.9597,0.9419,1.0377,0.6851,0.7719,0.9365,1.0433,0.8334,0.9231,88
EHF,0.5917,0.6785,1.7102,1.5875,1.1118,1.0828,1.0302,1.1233,1.3668,1.3054,5
EHHADH,0.6567,0.6892,0.7513,0.7674,0.9704,0.9127,1.9418,1.6373,1.2954,1.187,25
EHMT1,0.4385,0.4796,1.128,1.1309,1.8371,1.7337,0.7388,0.7745,1.1169,1.0078,104
EHMT2,0.5066,0.4772,1.0983,1.1303,1.9108,1.8854,0.7686,0.8126,1.085,1.027,83
EI24,0.3508,0.2757,0.2879,0.2121,1.2008,1.0667,2.0314,1.941,1.2924,1.4519,15
EID1,4.1084,4.0644,1.4065,1.2921,0.6236,0.6623,0.6878,0.4985,0.5747,0.5603,1
EID2,2.1277,2.0881,1.2229,1.3763,0.9732,0.9814,0.9409,0.8635,1.1185,0.9786,2
EIF1AD,3.6453,4.0433,1.2632,1.3044,0.5202,0.6103,0.6028,0.6131,0.6467,0.6454,13
EIF1AX,1.4954,1.4549,2.3661,2.2381,0.5019,0.5746,0.4848,0.5084,1.4562,1.3452,17
EIF1AY,1.462,1.5362,2.2445,2.195,0.6922,0.6664,0.6293,0.5943,1.3881,1.184,10
EIF2A,1.6056,1.5543,1.8059,1.8559,0.6054,0.6841,0.7025,0.7274,1.4801,1.2955,194
EIF2AK1,2.6293,2.7911,1.0776,1.0461,1.2875,1.4323,0.6958,0.717,0.7542,0.7998,5
EIF2AK2,0.9022,0.9019,0.9611,0.9653,0.6816,0.7316,0.8102,0.825,2.8911,2.3218,175
EIF2AK3,0.4689,0.393,0.2932,0.2936,1.1854,1.0931,1.9466,1.7747,1.3132,1.4235,40
EIF2AK4,2.0784,1.9836,1.3303,1.2935,0.6733,0.747,0.8625,0.9821,1.2701,1.3001,88
EIF2B1,1.8121,1.839,1.3423,1.2147,0.5848,0.6277,0.7296,0.7552,2.0992,1.7053,81
EIF2B2,1.2,1.2605,1.3858,1.3243,0.6166,0.7276,0.7252,0.7519,2.2255,1.8514,98
EIF2B3,1.1597,1.1292,1.4522,1.3829,0.6264,0.6624,0.7232,0.7688,2.1984,1.8186,118
EIF2B4,1.1868,1.2479,1.3883,1.2198,0.6656,0.6559,0.7873,0.8182,2.216,1.8735,67
EIF2B5,1.2334,1.291,1.4699,1.2841,0.6394,0.6523,0.7441,0.7601,2.0919,1.7717,72
EIF2D,2.8597,2.9845,1.9799,2.0737,0.5475,0.6012,0.5479,0.5843,0.6447,0.6446,75
EIF2S1,1.3008,1.3084,1.585,1.5807,0.6492,0.6965,0.6958,0.6854,1.9522,1.6162,376
EIF2S2,0.8787,0.8487,1.6384,1.5375,0.6669,0.7109,0.7077,0.6869,2.2458,1.8213,461
EIF2S3,1.0024,0.977,1.8574,1.8137,0.609,0.6518,0.6564,0.6476,2.0059,1.6795,83
EIF3A,0.6164,0.5713,1.8603,1.702,0.6973,0.7595,0.8583,0.8781,1.7573,1.5881,1130
EIF3B,1.3201,1.2659,1.7915,1.7339,0.6735,0.7113,0.7943,0.8061,1.531,1.4231,512
EIF3C,0.884,0.8453,1.9965,1.7829,0.7998,0.7599,0.9349,0.7874,1.6248,1.3949,16
EIF3D,0.9309,0.8705,1.9351,1.7157,0.7001,0.7056,0.7991,0.7984,1.5502,1.4176,245
EIF3E,0.6717,0.6064,1.8148,1.678,0.7188,0.7548,0.9019,0.9457,1.7227,1.5987,307
EIF3F,0.7833,0.7765,1.5965,1.4578,0.8125,0.8629,0.9411,0.9612,1.5069,1.4445,148
EIF3G,0.9924,0.94,2.0279,1.9272,0.634,0.6645,0.751,0.7525,1.5612,1.4474,285
EIF3H,0.7773,0.7263,1.9269,1.7845,0.7146,0.7603,0.8573,0.8545,1.5571,1.4593,199
EIF3I,0.9655,0.96,1.8257,1.73,0.6916,0.7163,0.809,0.8056,1.6557,1.5405,320
EIF3J,1.8662,1.7479,2.4915,2.4518,0.5871,0.6445,0.6034,0.617,0.7353,0.7159,301
EIF3K,0.9704,0.9156,1.7761,1.7196,0.7502,0.7495,0.8326,0.8645,1.5555,1.4226,111
EIF3L,0.6803,0.6534,1.7819,1.5953,0.7271,0.7634,0.9539,0.9755,1.705,1.5729,512
EIF3M,0.9536,0.9308,1.8814,1.7439,0.7028,0.7239,0.8186,0.8523,1.6362,1.4548,207
