"","pepNumber","num_NA","s_1","s_2","s_3","s_4","s_5","s_6","s_7","s_8","s_9","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_17"
"AT1G43170",9,0,0.128351620339842,0.0587551593942507,0.0536473331434206,0.0405053628000765,0.0389246557876831,0.0290811122631944,0.0301676987465574,0.0254443658808079,0.0180054302999812,0.0128036556617423,0.0170444098129692,0.01580532127302,0.103358036866318,0.0640412962909088,0.0716558521189967,0.120739898757184,0.171668790563047
"AT3G43190",23,0,0.0852829431806687,0.0529122509430025,0.0625901894981621,0.0601291803796286,0.053443283824027,0.0750363600766967,0.0503848359053711,0.0287517684698317,0.0218501524361273,0.0161408989162701,0.0167485852298672,0.0189676921604819,0.0651025748242447,0.0250461702806423,0.131568396460696,0.0436327996597089,0.192411917754573
"AT3G16430",5,0,0.0661098415332868,0.0364931286563764,0.0185138710575745,0.0225911673373171,0.0359451570985887,0.0481881033069488,0.062549299129943,0.0708342800722452,0.0563058871955233,0.040473967109149,0.0442476367424474,0.0435118042922593,0.0615467882794559,0.0945820718328265,0.242295578304188,0.0271324649145399,0.0286789531373302
"AT1G56070",15,0,0.0838621340928862,0.0311070234390485,0.0189422345498979,0.0152294743473924,0.022523843087156,0.033196715427814,0.0442770676514546,0.0784469698434917,0.0955164142678068,0.0854166051485048,0.0665078763315795,0.0675687444260373,0.0701305368711331,0.0257882520620137,0.110633313196769,0.0357991846809545,0.11505361057606
"AT4G09320",5,0,0.121284382012499,0.035257556477106,0.02021307208816,0.010816306750281,0.00964025345474239,0.0111109957539169,0.022678732402811,0.0446274903933979,0.0670961153479433,0.0676945966630753,0.0687518478320997,0.0534960678658251,0.0854960311801851,0.0231858146692644,0.118584531722781,0.0327334111216561,0.207332794264256
"AT1G18210",8,0,0.0407667531225185,0.113079845475371,0.0871350364715129,0.0716493702979269,0.0661589253202155,0.0557558434012255,0.0643232583595718,0.0795055386299617,0.0708396642361266,0.0598377013921496,0.0490727067091649,0.0529922827115041,0.0348100502053132,0.0117231887614095,0.106394622498387,0.00558054927662818,0.0303746631310132
"AT5G19440",14,0,0.104980388594567,0.0307802348004089,0.0166706274580635,0.0181735478999858,0.0259871271644257,0.0321784992643199,0.0439862025160737,0.062555634185555,0.0656514842464835,0.0649242197521401,0.0509385965620087,0.0508171870101729,0.0634209078296343,0.0129688056017316,0.206122375839125,0.0221845327645259,0.127659628510779
"AT3G15950",28,0,0.0306317900394408,0.0914078671206359,0.0734692737239674,0.0645952341876,0.0633688184492184,0.0619718922655769,0.065311386221922,0.0695382402954914,0.0650807734670642,0.0590254953306382,0.053555044570148,0.0477105412425338,0.0461696148524296,0.0363771980408267,0.1115700277584,0.0222490626592733,0.0379677397748334
"COMB_AT1G07660_AT1G07820_AT2G28740_AT3G45930_AT3G53730_AT3G46320_AT5G59690_AT5G59970",6,0,0.0616077828176142,0.00936403660595395,0.02939139451971,0.0446333423083444,0.043784694739473,0.0470488218524256,0.0426226106316195,0.0359670746957893,0.0279052428615431,0.0301228868161284,0.0288425090300989,0.0387980630869392,0.184081183620376,0.0986890124975738,0.0368534308942703,0.157552064941289,0.0827358480808513
"AT1G09640",5,0,0.104872847833734,0.0361016007922889,0.0187602880650353,0.0146033874226271,0.0140190518632735,0.0180202012221806,0.03280412481977,0.053646836345021,0.0677977564658885,0.0796284113303553,0.0556404180061104,0.0657163155958607,0.0886536600075766,0.0217672484080334,0.134850759394714,0.0332582407033624,0.159858851724168
"AT2G41840",5,0,0.0884275222937085,0.0586213578647999,0.0544931780254594,0.0380019509872854,0.0326541587810859,0.0326515430286561,0.0281907287354772,0.0234502577579682,0.020132220903612,0.0119586779727208,0.009642957639437,0.00818815571971446,0.136515925012591,0.0515321935625743,0.149027774622595,0.0850881557179862,0.171423241374329
"AT3G48930",4,0,0.145092270931601,0.0360018177906537,0.0432995142935187,0.046655314858029,0.0299283576836237,0.0234102724900818,0.0247714313656171,0.0267106999061316,0.0135253898914935,0.0160824869905591,0.00552028476534893,0.0125614048615435,0.106104812852647,0.0777456358852368,0.187197107377524,0.117321297219158,0.0880719008372329
"AT4G34670",4,2,0.0924271067634039,0.0628182293237658,0.0479607583885724,0.0615355563463895,0.0512326803761812,0.033146097003881,0.034288211477718,0.0308394831562539,0.0191386766796061,0,0.0108136278287797,0,0.104495136627447,0.0506992386435869,0.1772937299941,0.0732320765403555,0.150079390849959
"AT3G12390",3,1,0.067122998785937,0.0311059729051316,0.0592552744174988,0.0727790633582723,0.0441608909060474,0.0527213301774812,0.047744261963422,0.050409122073955,0.0512990154235512,0.0334162686929634,0.0451370847296206,0.0316897247936164,0.0777556857969337,0.0548645940585004,0.186365903197838,0,0.0941728087192305
"AT2G01140",7,0,0.140133407215497,0.0139204561943993,0.0143591331108196,0.0189535722846582,0.0214850238985295,0.0216911440612134,0.0284454273453999,0.0314915858186289,0.0462907940087182,0.0565789802558046,0.0648400808108061,0.0499498742258905,0.124828931140273,0.0187542447173135,0.178197695878516,0.0290879318652209,0.140991717168312
"AT1G78380",5,0,0.131014769615926,0.0394477731828427,0.0206989340199567,0.0103878853788597,0.0155210528153857,0.0119631699853012,0.0375294124101971,0.0411201222797964,0.0541437956601246,0.0497210060906805,0.0525458078872728,0.0391187373700405,0.108560264767223,0.0281716737331928,0.134599483971084,0.0433365033861195,0.182119607445996
"AT4G22670",8,0,0.123390943830451,0.0399876747949692,0.0160018438750561,0.0137261089288469,0.0121180040026412,0.0168108981389636,0.0390934997945106,0.0524582327699823,0.078803119355514,0.0537624219117705,0.0584625120511292,0.0419546403769946,0.103678578308328,0.00812179895922847,0.286462734998753,0.0123036462170789,0.0428633416857822
"AT4G36130",2,6,0.104324975727336,0.0575688387479838,0,0.0629908319155484,0.0585015539983468,0,0.0418506357929882,0,0,0,0,0.0140761462237889,0.118094091937978,0.0831811787470222,0.146326123758139,0.176476685415151,0.136608937735717
"AT1G52130",15,0,0.107705819979839,0.0341314795439101,0.01666504042405,0.00887733733605178,0.00843892723020719,0.0246831504118966,0.0149647952213788,0.0166767466241615,0.0395852961909029,0.0492249890163282,0.0557484412835914,0.0455783375323831,0.119919994688188,0.0535332854210336,0.190446682057394,0.0386030863764788,0.175216590662204
"AT5G13420",14,0,0.127367660782999,0.0100390288100845,0.0149975881526285,0.0277389105597401,0.0343247733636768,0.0487099291200885,0.0531432007990356,0.0633286647334702,0.0555399443663712,0.0554366683629428,0.0427253214683277,0.0391534627798216,0.109160654537171,0.00953589209673619,0.16433543663144,0.0134735647790938,0.130989298656373
"AT1G16030",7,0,0.0687600558373329,0.21407120274472,0.0593394607217685,0.020462303722653,0.0243003751349096,0.0166987383348489,0.0359775834184374,0.0154028698938286,0.0209803332055226,0.0188427010699438,0.0202852300336961,0.0199692357772134,0.177924856004305,0.0247838334753128,0.0702505105234367,0.0969131174167363,0.0950375926853338
"AT5G42020",4,0,0.0277922842911766,0.168684848196485,0.163156599696428,0.145959637054535,0.112530907599995,0.095552549124289,0.0567303544010248,0.0493310924550218,0.0333294714498269,0.0244370436594425,0.0139777152732801,0.0119003498943061,0.0250526211193721,0.0162430624737076,0.0158164479653174,0.01840275768794,0.0211022576578513
"AT2G16600",6,0,0.0818000220306715,0.0456451509654934,0.0327274607737059,0.0406649607100932,0.0446344310018103,0.0574075551957139,0.0683771464709557,0.0893711957740123,0.0821910400642147,0.0782658376699834,0.0655991152160501,0.0563346233047211,0.0571842898273917,0.0182342506511642,0.105516680032703,0.0141718931117494,0.0618743471995662
"AT1G02920",6,0,0.0672544685026797,0.0283324257576649,0.0300260808377476,0.0269659053910403,0.0258902108932501,0.0393797740894283,0.0564947907855142,0.0928926586819497,0.101430554444135,0.112460234441164,0.0837756689927305,0.0728513056711773,0.0491885571368273,0.0414289765117078,0.0889785662816264,0.0358816299842283,0.0467681915971282
"AT2G44120",4,0,0.0705920628344431,0.0544440948694131,0.0536522843373979,0.0467544252713024,0.0492404517103402,0.0421167193067903,0.0341664952201201,0.025026036903459,0.0195360581134274,0.0171418609995424,0.0112473563099946,0.0111846845628385,0.119142346950374,0.0828538624540898,0.099152216737403,0.132673153211117,0.131075890207947
"AT1G18540",2,0,0.0813826507305378,0.0686934472707118,0.0533773555194083,0.037879337588104,0.0453282865931879,0.0200561522969319,0.0170560272083014,0.0166235670730551,0.0129669997644242,0.00792497123563808,0.0137020896612058,0.0196258812812978,0.0981169327914401,0.0526549551089857,0.0670636294390115,0.111682987304314,0.275864729133444
"AT5G15200",2,0,0.132939432465188,0.0488812530927596,0.0922024348136274,0.0551863281394463,0.0423835281912901,0.0483766408673859,0.0474819297291307,0.0375124608261093,0.0274633890094737,0.0256290347178137,0.0209458562721108,0.0193453178078929,0.0673767445317787,0.0365128077070024,0.0875759769299967,0.0625824116815033,0.14760445321749
"AT3G15730",22,0,0.0860374170497308,0.0537710886389989,0.0276250621804696,0.0134793514171249,0.0134417576970311,0.0116109022446168,0.017268281483035,0.0328120735532405,0.0577368604937589,0.0570781294071053,0.0560492006294713,0.0482315975927134,0.0796600287554368,0.0200708004541586,0.217566092363067,0.0270642328782267,0.180497123161815
