Protein.ID,Loc.Predicted,Loc.Confirmed,Loc.Assigned,M1F1A,M1F4A,M1F7A,M1F11A,M1F2B,M1F5B,M1F8B,M1F11B,M2F1A,M2F4A,M2F7A,M2F11A,M2F2B,M2F5B,M2F8B,M2F11B
At3g51050,unknown,unknown,"not classified",0.2815,0.29625,0.2415,0.181,0.39875,0.205,0.227,0.1695,0.237,0.277333,0.287667,0.197667,0.255333,0.257333,0.294667,0.192667
At3g52930,unknown,unknown,"not classified",0.307167,0.215667,0.211167,0.266,0.2945,0.1935,0.2255,0.2865,0.356875,0.183,0.219125,0.240875,0.321,0.168,0.2405,0.27025
At3g49360,unknown,unknown,"not classified",0.291,0.279,0.197,0.233,0.394,0.202,0.205,0.199,0.2485,0.233,0.2375,0.281,0.271,0.212,0.238,0.278
At4g25720,unknown,unknown,"not classified",0.23,0.299,0.223,0.248,0.272,0.2185,0.2835,0.2255,0.18,0.2825,0.307,0.2295,0.1865,0.3115,0.3035,0.1985
At5g63030,unknown,unknown,"not classified",0.259,0.222,0.279,0.24,0.25075,0.2175,0.20475,0.327,0.2085,0.25,0.2545,0.2865,0.234,0.232,0.221,0.313
At2g43350,unknown,unknown,"not classified",0.2082,0.290333,0.2678,0.233533,0.316143,0.230286,0.244857,0.208714,0.1845,0.253875,0.32675,0.235,0.1995,0.257,0.313,0.23
At2g30860,unknown,unknown,"not classified",0.264,0.249667,0.236333,0.25,0.237667,0.214,0.241667,0.307,0.2795,0.16,0.222,0.338,0.2294,0.144,0.2584,0.3686
At3g10370,unknown,unknown,"not classified",0.145,0.207,0.284,0.364,0.112,0.221333,0.306,0.360667,0.161333,0.175,0.270667,0.393,0.06,0.224,0.299,0.417
At1g66280,unknown,unknown,"not classified",0.336333,0.265,0.207333,0.191333,0.413,0.274,0.163,0.15,0.287667,0.292333,0.202,0.218,0.325,0.26,0.193,0.222
At3g06510,unknown,unknown,"not classified",0.0423333,0.108333,0.325,0.525,0.0503333,0.116333,0.376,0.457333,0.0425,0.083,0.285,0.5895,0.0595,0.095,0.3355,0.51
