"","pepNumber","num_NA","s_1","s_2","s_3","s_4","s_5","s_6","s_7","s_8","s_9","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_17"
"AT1G04410",2,0,0.0660171624696159,0.0443624346380783,0.0228698326345118,0.0156500920036459,0.0162546223101571,0.0273560568435224,0.0468604914356276,0.0638089689071169,0.0703417961252056,0.0773207170556553,0.0565350602181037,0.0521207147556494,0.0577757412605009,0.0190537223340622,0.22700970172881,0.0277091785348667,0.10895370674487
"COMB_AT1G33120_AT1G33140",4,0,0.105315343041204,0.0622289828972498,0.0606144719886737,0.0424806163714688,0.0414697645194335,0.038072061445907,0.0283203656788634,0.0241377499892394,0.0147023842543617,0.0114042043555554,0.0111669860795042,0.00836232882536089,0.105984924261963,0.0586297852555846,0.076855686096418,0.129738906292206,0.180515438647006
"AT1G77940",2,1,0.122045012270394,0.0404663265623593,0.0222950694783012,0.0194957044797291,0.0118312042535913,0.024926255287071,0.0203935096290854,0.0161015085029951,0.0151296200232966,0,0.00867579693988189,0.00630552917403282,0.0988570581839813,0.0378286720313267,0.127046168239224,0.164652713128298,0.263949851816433
"AT3G55440",6,0,0.119766711289844,0.0338298151609993,0.0170421248430317,0.0081300851451422,0.0174755852852756,0.0215595740096429,0.0420569992944461,0.0531805863617472,0.0637885858242804,0.0518964182653037,0.0470035790060866,0.0389929876672159,0.0897389875578948,0.0212669830278331,0.188167146617492,0.0287795114038277,0.157324319239938
"AT3G09440",3,0,0.151537870547412,0.0464659467603711,0.0196157617800876,0.0187497853899419,0.0190027612470275,0.0163155152489257,0.0326202503432114,0.040798429617077,0.0447795346136852,0.0334139683496081,0.032815135866292,0.0276696132494031,0.0939958901124191,0.0188321096805369,0.202265277711372,0.0521404405022746,0.148981708980355
"AT3G14990",7,0,0.140584409599157,0.0226801275264866,0.0148634843009074,0.011519336578543,0.012618032520962,0.0239770045055258,0.0344267286264599,0.0509947571598832,0.056612724721975,0.0489089955996159,0.0412667216784508,0.0358246355963502,0.0803173184056425,0.0168841184371536,0.250371311583253,0.0228714455960612,0.135278847563573
"AT4G09000",2,0,0.105570890859928,0.0436487774201649,0.0291175920466203,0.0303640154647141,0.0316937436933866,0.031216898709682,0.0610553703698859,0.0625980466591153,0.065121428726618,0.0529868957668592,0.043314927353804,0.0410328270017136,0.0972263641813444,0.0240990410254607,0.166166095651217,0.030438665461784,0.0843484196077015
"AT5G09810",3,1,0.114070415595652,0.0605853717312839,0,0.032414396487941,0.0266284782276638,0.041559480025035,0.0238721464079093,0.0503833140101636,0.0577624700520337,0.0445712959406098,0.040828257399022,0.0382667738302547,0.0956630641973693,0.0390819592952258,0.114757622605808,0.152755838880807,0.0667991153132204
"AT5G19510",2,0,0.0990685134583899,0.0433304006594157,0.0373658351213876,0.0136655776992638,0.0135092729474982,0.0202101175282629,0.0363394306534803,0.0691794713808674,0.0915690926362262,0.0808089106078803,0.0668002756714704,0.0602366079451266,0.109003801530675,0.00911523528155991,0.158032200525821,0.0158311291330093,0.0759341272196663
"AT1G07890",7,0,0.0629483654604503,0.0370874451801895,0.0195476069592929,0.0186871422511663,0.0184521645714258,0.0411851945047719,0.0428629568906431,0.0770413223709808,0.0751832769596961,0.0802137612605474,0.0622539745691573,0.0611665148253731,0.0727976258477279,0.0146664309292961,0.218851455476257,0.0205697598206328,0.0764850021223923
