Protein,Cluster
STMN2,mclust12
TACC3,mclust12
TAGLN2,mclust12
TARS,mclust12
TBCB,mclust12
TBCE,mclust12
TFG,mclust12
THUMPD3,mclust12
TP53I3,mclust12
TPMT,mclust12
TPT1,mclust12
TRIM5,mclust12
TSC22D1,mclust12
TSC22D2,mclust12
TTL,mclust12
TUBA4A,mclust12
TUBB,mclust12
TUBB4B,mclust12
TUBB6,mclust12
TXNRD1,mclust12
UAP1,mclust12
UBE2O,mclust12
UROS,mclust12
USP4,mclust12
USP47,mclust12
WARS,mclust12
VCL,mclust12
VPS37B,mclust12
VPS4B,mclust12
XPNPEP1,mclust12
YAE1D1,mclust12
YWHAQ,mclust12
YWHAZ,mclust12
ZBTB8OS,mclust12
ZNF259,mclust12
AASDHPPT,mclust13
ACAT2,mclust13
ACBD6,mclust13
ACLY,mclust13
ACSS2,mclust13
ADAT2,mclust13
ADAT3,mclust13
ADK,mclust13
ADO,mclust13
ADPRHL2,mclust13
ADSL,mclust13
AHCY,mclust13
AKR1A1,mclust13
ALKBH3,mclust13
AMDHD2,mclust13
ANKRD54,mclust13
APRT,mclust13
ARIH1,mclust13
ARIH2,mclust13
ASPSCR1,mclust13
ASS1,mclust13
ATE1,mclust13
ATG13,mclust13
ATXN3,mclust13
BAG3,mclust13
BDH2,mclust13
BLVRB,mclust13
BORA,mclust13
BROX,mclust13
BTF3,mclust13
BTF3L4,mclust13
C10orf118,mclust13
C11orf68,mclust13
C12orf10,mclust13
C12orf57,mclust13
C14orf142,mclust13
C1orf50,mclust13
C20orf27,mclust13
C9orf16,mclust13
C9orf64,mclust13
CASP7,mclust13
CAST,mclust13
CBFB,mclust13
CBR1,mclust13
CC2D1B,mclust13
CCBL1,mclust13
CCDC25,mclust13
CCDC6,mclust13
CCDC85C,mclust13
CCDC91,mclust13
CD2AP,mclust13
CDK1,mclust13
CDK6,mclust13
CHMP5,mclust13
CIAPIN1,mclust13
CKS2,mclust13
CLUH,mclust13
CMBL,mclust13
CNOT4,mclust13
CRBN,mclust13
CRK,mclust13
CRKL,mclust13
CRTC2,mclust13
CRTC3,mclust13
CTNNBIP1,mclust13
CTTNBP2NL,mclust13
CUEDC2,mclust13
CYB5R4,mclust13
DAK,mclust13
DCTD,mclust13
DCTPP1,mclust13
DCUN1D1,mclust13
DDAH1,mclust13
DDI2,mclust13
DFFA,mclust13
DNAJB4,mclust13
DOHH,mclust13
DPH5,mclust13
DPH7,mclust13
DTD1,mclust13
DUSP12,mclust13
DUSP3,mclust13
EDF1,mclust13
EIF1AD,mclust13
EIF4H,mclust13
EIF6,mclust13
EML4,mclust13
ENAH,mclust13
ENOPH1,mclust13
ERC1,mclust13
ERF,mclust13
FAM168A,mclust13
FAM175B,mclust13
FBLIM1,mclust13
FBXO3,mclust13
FBXW5,mclust13
FDPS,mclust13
FKBP3,mclust13
FKBP4,mclust13
FLNA,mclust13
FLNB,mclust13
FOXO3,mclust13
FSCN1,mclust13
GALE,mclust13
GALK1,mclust13
GALK2,mclust13
GAPDH,mclust13
GBE1,mclust13
GLRX3,mclust13
GLUL,mclust13
GMPPA,mclust13
GMPPB,mclust13
GMPR2,mclust13
GNB5,mclust13
GNPNAT1,mclust13
GPCPD1,mclust13
GRIPAP1,mclust13
GSR,mclust13
GSS,mclust13
GSTO1,mclust13
HDAC4,mclust13
HDAC8,mclust13
HDDC2,mclust13
HDHD1,mclust13
HELB,mclust13
HSBP1,mclust13
HSP90AA1,mclust13
HSP90AB1,mclust13
HSPA14,mclust13
HSPA4,mclust13
HSPA4L,mclust13
HSPH1,mclust13
IAH1,mclust13
IDE,mclust13
IDI1,mclust13
IFT27,mclust13
INPP1,mclust13
IRF9,mclust13
KHK,mclust13
KLHL36,mclust13
LGALSL,mclust13
LYSMD2,mclust13
MAGI3,mclust13
MAP4,mclust13
MAPK1,mclust13
MAPK12,mclust13
MAPK14,mclust13
MAPK8,mclust13
MAPK9,mclust13
MAPRE1,mclust13
MAT2A,mclust13
MAT2B,mclust13
MEMO1,mclust13
METTL5,mclust13
MGEA5,mclust13
MIEN1,mclust13
MIF4GD,mclust13
MOB2,mclust13
MOCS2,mclust13
MRI1,mclust13
MTMR2,mclust13
MVD,mclust13
NAA10,mclust13
NAA50,mclust13
NACA,mclust13
NAE1,mclust13
NAGK,mclust13
NAMPT,mclust13
NANS,mclust13
NAP1L4,mclust13
NARS,mclust13
NAT1,mclust13
NDOR1,mclust13
NIF3L1,mclust13
NIT2,mclust13
NME1,mclust13
NMI,mclust13
NPEPL1,mclust13
NPEPPS,mclust13
NRBP1,mclust13
NSFL1C,mclust13
NSMAF,mclust13
NT5C2,mclust13
