Protein,Cluster
ZBTB11,mclust5
ZBTB17,mclust5
ZBTB21,mclust5
ZBTB41,mclust5
ZBTB48,mclust5
ZC3H8,mclust5
ZCRB1,mclust5
ZFC3H1,mclust5
ZFP64,mclust5
ZMAT3,mclust5
ZNF189,mclust5
ZNF205,mclust5
ZNF275,mclust5
ZNF302,mclust5
ZNF346,mclust5
ZNF484,mclust5
ZNF510,mclust5
ZNF512B,mclust5
ZNF561,mclust5
ZNF567,mclust5
ZNF574,mclust5
ZNF629,mclust5
ZNF652,mclust5
ZNF668,mclust5
ZNF687,mclust5
ZNF768,mclust5
ZNF770,mclust5
ZNHIT6,mclust5
ZRANB3,mclust5
ZSCAN21,mclust5
ACIN1,mclust6
ADNP,mclust6
ADNP2,mclust6
ATRX,mclust6
BCOR,mclust6
BRD2,mclust6
BRPF3,mclust6
C1orf131,mclust6
C5orf24,mclust6
CABIN1,mclust6
CBX5,mclust6
CDCA2,mclust6
CDCA5,mclust6
CEBPB,mclust6
CENPO,mclust6
CHAF1A,mclust6
CHD4,mclust6
CHERP,mclust6
CSTF3,mclust6
CWC22,mclust6
DDX39A,mclust6
DDX39B,mclust6
DDX49,mclust6
DDX52,mclust6
ESCO1,mclust6
ESRRA,mclust6
FAM178A,mclust6
FAM208B,mclust6
FBXO28,mclust6
FCF1,mclust6
GLE1,mclust6
HLTF,mclust6
HMG20A,mclust6
HMGXB4,mclust6
HNRNPH1,mclust6
HNRNPH2,mclust6
IK,mclust6
ING5,mclust6
KAT7,mclust6
KDM2A,mclust6
KDM5B,mclust6
KDM6B,mclust6
KIAA1429,mclust6
KIF22,mclust6
LMNA,mclust6
LMNB1,mclust6
LRIF1,mclust6
MBD2,mclust6
MCM3AP,mclust6
MDN1,mclust6
MPHOSPH8,mclust6
MTA1,mclust6
N4BP2L2,mclust6
NCOA5,mclust6
NFKBIL1,mclust6
NIPBL,mclust6
NOLC1,mclust6
NTHL1,mclust6
NUP153,mclust6
NUP50,mclust6
NUP98,mclust6
NXF1,mclust6
NXT1,mclust6
NXT2,mclust6
PAXBP1,mclust6
PCGF1,mclust6
PDS5B,mclust6
PINX1,mclust6
POGZ,mclust6
POLR2A,mclust6
PRPF38A,mclust6
RAD21,mclust6
RANBP2,mclust6
RBM12B,mclust6
RBM14,mclust6
RBM15,mclust6
RBM15B,mclust6
RBM6,mclust6
RBMXL1,mclust6
RCC1,mclust6
RIF1,mclust6
RNF169,mclust6
SENP7,mclust6
SF3A1,mclust6
SF3A2,mclust6
SF3A3,mclust6
SF3B1,mclust6
SGOL1,mclust6
SMARCA1,mclust6
SMC1A,mclust6
SMC5,mclust6
SMC6,mclust6
SMPD4,mclust6
SPOP,mclust6
SRCAP,mclust6
STAG1,mclust6
STAG2,mclust6
SUPT6H,mclust6
SYMPK,mclust6
TCF20,mclust6
TFIP11,mclust6
TIGD2,mclust6
TMPO,mclust6
TOPORS,mclust6
UBN1,mclust6
UBN2,mclust6
WDR33,mclust6
WHSC1L1,mclust6
WIZ,mclust6
YLPM1,mclust6
ZBTB4,mclust6
ZBTB40,mclust6
ZCCHC10,mclust6
ZFHX3,mclust6
ZNF106,mclust6
ZNF148,mclust6
ZNF236,mclust6
ZNF362,mclust6
ZNF518A,mclust6
ZNF644,mclust6
ZNF646,mclust6
AATF,mclust7
ABT1,mclust7
ADAR,mclust7
AHCTF1,mclust7
AKAP17A,mclust7
ASH1L,mclust7
ATAD2,mclust7
ATAD2B,mclust7
ATAD5,mclust7
ATF4,mclust7
AURKB,mclust7
BAZ1A,mclust7
BAZ1B,mclust7
BAZ2A,mclust7
BAZ2B,mclust7
BEND3,mclust7
BIRC5,mclust7
BMS1,mclust7
BRD1,mclust7
BRIX1,mclust7
BRPF1,mclust7
BRWD1,mclust7
C10orf12,mclust7
C17orf85,mclust7
C18orf21,mclust7
CBX8,mclust7
CCDC137,mclust7
CCDC86,mclust7
CDC40,mclust7
CDCA7L,mclust7
CDCA8,mclust7
CEBPZ,mclust7
CENPB,mclust7
CENPC,mclust7
CENPI,mclust7
CENPN,mclust7
CENPP,mclust7
CENPT,mclust7
CHD1,mclust7
CHD2,mclust7
CHTOP,mclust7
CIRH1A,mclust7
CLK4,mclust7
CXorf23,mclust7
DCAF13,mclust7
DDX10,mclust7
DDX18,mclust7
DDX24,mclust7
DDX31,mclust7
DDX47,mclust7
DDX50,mclust7
DDX51,mclust7
DDX56,mclust7
DHX33,mclust7
DKC1,mclust7
DNTTIP2,mclust7
DOT1L,mclust7
EBNA1BP2,mclust7
ELAVL1,mclust7
ESF1,mclust7
FAM208A,mclust7
FBL,mclust7
FYTTD1,mclust7
GAR1,mclust7
GLTSCR2,mclust7
GMCL1,mclust7
GNL2,mclust7
H1F0,mclust7
H2AFY,mclust7
HEATR1,mclust7
HIST1H1B,mclust7
HIST1H1C,mclust7
HIST1H1E,mclust7
HIST2H3PS2,mclust7
HNRNPA1,mclust7
HNRNPA2B1,mclust7
HNRNPA3,mclust7
HNRNPC,mclust7
HNRNPDL,mclust7
HNRNPH3,mclust7
HNRNPL,mclust7
HNRNPR,mclust7
IMP3,mclust7
IMP4,mclust7
INCENP,mclust7
INO80,mclust7
INO80B,mclust7
ISG20L2,mclust7
KAT6A,mclust7
KIAA0020,mclust7
KMT2A,mclust7
KRI1,mclust7
KRR1,mclust7
LAS1L,mclust7
LEMD3,mclust7
LYAR,mclust7
MAFG,mclust7
MATR3,mclust7
MBD1,mclust7
MECP2,mclust7
MEN1,mclust7
MIS18BP1,mclust7
MKI67,mclust7
MPHOSPH10,mclust7
MTF2,mclust7
MYBBP1A,mclust7
NAT10,mclust7
NGDN,mclust7
NHP2L1,mclust7
NIFK,mclust7
NIP7,mclust7
NKRF,mclust7
NOC2L,mclust7
NOC4L,mclust7
NOL10,mclust7
NOL11,mclust7
NOL6,mclust7
NOL7,mclust7
NOL8,mclust7
NOL9,mclust7
NOM1,mclust7
NOP14,mclust7
NOP16,mclust7
NOP2,mclust7
NOP56,mclust7
NOP58,mclust7
NUP107,mclust7
NUP133,mclust7
NUP155,mclust7
NUP205,mclust7
NUP210,mclust7
NUP93,mclust7
ORC1,mclust7
PAK1IP1,mclust7
PAPD5,mclust7
PDCD11,mclust7
PHF2,mclust7
PHIP,mclust7
PNN,mclust7
POLR1A,mclust7
POM121,mclust7
POM121C,mclust7
PPHLN1,mclust7
PRDM2,mclust7
PWP2,mclust7
PWWP2A,mclust7
RAI1,mclust7
RALY,mclust7
RBM19,mclust7
RBM34,mclust7
RBMX,mclust7
RCL1,mclust7
REXO4,mclust7
RNPC3,mclust7
RNPS1,mclust7
RPF1,mclust7
RPF2,mclust7
RPL7L1,mclust7
RREB1,mclust7
RRP12,mclust7
RRP36,mclust7
RRP7A,mclust7
RRS1,mclust7
RSF1,mclust7
RSL1D1,mclust7
SAFB,mclust7
SAFB2,mclust7
SAP18,mclust7
SCAF1,mclust7
SENP3,mclust7
SLTM,mclust7
SMARCA5,mclust7
SPEN,mclust7
SRFBP1,mclust7
SRSF9,mclust7
STRBP,mclust7
SUGP2,mclust7
SUN1,mclust7
SUN2,mclust7
SUPT16H,mclust7
SURF6,mclust7
SUV39H2,mclust7
SUV420H1,mclust7
SYNE2,mclust7
SYNE3,mclust7
TBL3,mclust7
TEX10,mclust7
TFAP2A,mclust7
TFAP2C,mclust7
TMEM194A,mclust7
TMEM201,mclust7
TMEM209,mclust7
TOP2A,mclust7
TOP2B,mclust7
TOR1AIP1,mclust7
TRA2A,mclust7
TRA2B,mclust7
TTF1,mclust7
URB1,mclust7
URB2,mclust7
USP36,mclust7
USP42,mclust7
UTP11L,mclust7
UTP14A,mclust7
UTP15,mclust7
UTP18,mclust7
UTP20,mclust7
UTP3,mclust7
UTP6,mclust7
WDR18,mclust7
WDR3,mclust7
WDR36,mclust7
WDR43,mclust7
WDR46,mclust7
WDR75,mclust7
WHSC1,mclust7
XPC,mclust7
ZBTB38,mclust7
ZC3H11A,mclust7
ZCCHC7,mclust7
ZCCHC9,mclust7
ZFP62,mclust7
ZFR,mclust7
ZFX,mclust7
ZMYND11,mclust7
ZNF280C,mclust7
ZNF292,mclust7
ZNF326,mclust7
ZNF384,mclust7
ZNF512,mclust7
ZNF800,mclust7
AFF4,mclust8
AGGF1,mclust8
AK2,mclust8
AKAP8L,mclust8
ANKRD12,mclust8
ARID1B,mclust8
ASH2L,mclust8
ATF1,mclust8
ATXN1,mclust8
BCL9L,mclust8
BRD4,mclust8
C12orf43,mclust8
C18orf25,mclust8
C2orf49,mclust8
C9orf85,mclust8
CALR,mclust8
CALU,mclust8
CBX3,mclust8
CCAR1,mclust8
CCAR2,mclust8
CCDC117,mclust8
CCDC58,mclust8
CCNH,mclust8
CCNT1,mclust8
CCNT2,mclust8
CDC73,mclust8
CDK9,mclust8
CDKN2AIPNL,mclust8
CHD9,mclust8
CIC,mclust8
CNPY3,mclust8
COA7,mclust8
COX17,mclust8
CPOX,mclust8
CPSF6,mclust8
CREBBP,mclust8
CTBP1,mclust8
CTDP1,mclust8
CTNNBL1,mclust8
CTR9,mclust8
CXXC1,mclust8
CYHR1,mclust8
DDB2,mclust8
DHX16,mclust8
DHX40,mclust8
DIABLO,mclust8
DIDO1,mclust8
DMTF1,mclust8
DPF2,mclust8
ELL2,mclust8
ENDOG,mclust8
ERP29,mclust8
FAM103A1,mclust8
FAM136A,mclust8
FAM76A,mclust8
FAM76B,mclust8
FARSA,mclust8
FARSB,mclust8
FBRS,mclust8
FKBP14,mclust8
FNBP4,mclust8
FOXJ2,mclust8
FOXK1,mclust8
FOXK2,mclust8
GABPA,mclust8
GLA,mclust8
GOLGA4,mclust8
GPATCH8,mclust8
GSE1,mclust8
HCFC1,mclust8
HDAC2,mclust8
HDLBP,mclust8
HIRIP3,mclust8
HNRNPK,mclust8
IDS,mclust8
INTS3,mclust8
IRF2BP1,mclust8
IRF2BPL,mclust8
IWS1,mclust8
JMJD1C,mclust8
KDM1A,mclust8
KDM3B,mclust8
KDM4A,mclust8
KIAA0907,mclust8
KIF4A,mclust8
LARP7,mclust8
LEO1,mclust8
LRPAP1,mclust8
MAD1L1,mclust8
MAML1,mclust8
MAX,mclust8
MCM2,mclust8
MCM3,mclust8
MEPCE,mclust8
MESDC2,mclust8
MLLT1,mclust8
MNAT1,mclust8
MORC3,mclust8
MORF4L1,mclust8
MSH3,mclust8
MYBL2,mclust8
NASP,mclust8
NBN,mclust8
NCAPD3,mclust8
NCAPH2,mclust8
NCOA6,mclust8
NCOR1,mclust8
NCOR2,mclust8
NELFA,mclust8
NELFE,mclust8
NMT1,mclust8
NPmclust4,mclust8
NRF1,mclust8
NSL1,mclust8
OTUD5,mclust8
P4HB,mclust8
PAF1,mclust8
PBX2,mclust8
PCF11,mclust8
PCGF5,mclust8
PDS5A,mclust8
PKNOX1,mclust8
PPIL2,mclust8
PRPF40A,mclust8
PSPC1,mclust8
PUS3,mclust8
PYGO2,mclust8
QSER1,mclust8
RANBP3,mclust8
RBBP5,mclust8
RBBP8,mclust8
RBM25,mclust8
RBPJ,mclust8
RCN1,mclust8
RCOR1,mclust8
RCOR3,mclust8
RFX1,mclust8
RMDN1,mclust8
RNF20,mclust8
RNF40,mclust8
RNMT,mclust8
RPAIN,mclust8
RPRD2,mclust8
RYBP,mclust8
SCAF4,mclust8
SCAF8,mclust8
SCML2,mclust8
SET,mclust8
SETD1B,mclust8
SIRT1,mclust8
SLC4A1AP,mclust8
SMARCAD1,mclust8
SMCHD1,mclust8
SMEK2,mclust8
SNAPC2,mclust8
SP1,mclust8
SPIN1,mclust8
SRRT,mclust8
SUGP1,mclust8
SUOX,mclust8
SUPT4H1,mclust8
SUPT5H,mclust8
TAF4,mclust8
TBL1XR1,mclust8
TCERG1,mclust8
TCOF1,mclust8
TIPIN,mclust8
TLK1,mclust8
TLK2,mclust8
TRIAP1,mclust8
TRIM24,mclust8
TRIM28,mclust8
TRIM33,mclust8
TUT1,mclust8
TXNDC5,mclust8
U2AF1,mclust8
U2AF2,mclust8
UFD1L,mclust8
UHRF2,mclust8
USP11,mclust8
USP7,mclust8
WAC,mclust8
WAPAL,mclust8
WBP11,mclust8
WDR83,mclust8
VPRBP,mclust8
WRNIP1,mclust8
XRCC1,mclust8
XRCC4,mclust8
ZBTB14,mclust8
ZC3HC1,mclust8
ZHX1,mclust8
ZHX2,mclust8
ZMYM2,mclust8
ZNF131,mclust8
ZNF143,mclust8
ZNF217,mclust8
ZNF318,mclust8
ABR,mclust9
ACYP2,mclust9
ADRM1,mclust9
AGFG2,mclust9
AHCYL2,mclust9
AKT1,mclust9
AKT2,mclust9
AKTIP,mclust9
ALDH9A1,mclust9
ALKBH6,mclust9
ANKMY2,mclust9
AP3B1,mclust9
AP3D1,mclust9
AP3M2,mclust9
AP4E1,mclust9
APOA1BP,mclust9
APPL1,mclust9
ARAP1,mclust9
ARFGEF2,mclust9
ARHGAP12,mclust9
ARHGAP5,mclust9
ARHGEF7,mclust9
ARL6,mclust9
ASAP1,mclust9
AVL9,mclust9
BIN3,mclust9
BIRC2,mclust9
BIRC6,mclust9
C12orf44,mclust9
C2orf69,mclust9
CAD,mclust9
CALCOCO1,mclust9
CAMK2D,mclust9
CAMK2G,mclust9
CCDC132,mclust9
CCDC22,mclust9
CCDC92,mclust9
CCDC93,mclust9
CCT2,mclust9
CCT3,mclust9
CCT4,mclust9
CCT5,mclust9
CCT6A,mclust9
CCT7,mclust9
CCT8,mclust9
CDC34,mclust9
CDK5,mclust9
CEP44,mclust9
CEP78,mclust9
CHMP2A,mclust9
COASY,mclust9
COMMD4,mclust9
COMMD6,mclust9
COPA,mclust9
CSE1L,mclust9
CUL9,mclust9
DCTN1,mclust9
DCTN2,mclust9
DCTN5,mclust9
DCTN6,mclust9
DDHD2,mclust9
DIS3L2,mclust9
DNMBP,mclust9
DTYMK,mclust9
DVL2,mclust9
DYNC1H1,mclust9
DYNC1I2,mclust9
DYNC1LI1,mclust9
DYNC1LI2,mclust9
DYNLRB1,mclust9
DYNLT3,mclust9
ECD,mclust9
EHBP1,mclust9
EIF2B1,mclust9
ELMO2,mclust9
EZR,mclust9
FAM114A2,mclust9
FAM160B1,mclust9
FAM65A,mclust9
FAM96A,mclust9
FHOD1,mclust9
FLCN,mclust9
FNIP1,mclust9
FTSJ1,mclust9
GABARAP,mclust9
GEMIN5,mclust9
GIPC1,mclust9
GMIP,mclust9
GPD1L,mclust9
GPN3,mclust9
GRHPR,mclust9
GUK1,mclust9
HAGH,mclust9
HAUS3,mclust9
HAUS8,mclust9
HECTD4,mclust9
HERC1,mclust9
HTT,mclust9
IFT81,mclust9
IFT88,mclust9
IREB2,mclust9
IRS2,mclust9
KCMF1,mclust9
KCTD9,mclust9
KIAA1244,mclust9
KIF13B,mclust9
KLHL11,mclust9
KPNA2,mclust9
LIMS1,mclust9
LPIN2,mclust9
LRRC16A,mclust9
LSM1,mclust9
LYPLA1,mclust9
MAD2L1,mclust9
MAP4K2,mclust9
MAPKAP1,mclust9
METAP2,mclust9
METTL10,mclust9
MTMR3,mclust9
MTMR6,mclust9
MYH14,mclust9
NAPB,mclust9
NDRG1,mclust9
NDRG3,mclust9
NKIRAS1,mclust9
NT5C,mclust9
NUDCD3,mclust9
NUF2,mclust9
OBSL1,mclust9
OVCA2,mclust9
PAIP1,mclust9
PAIP2,mclust9
PAIP2B,mclust9
PATL1,mclust9
PCBP1,mclust9
PCMT1,mclust9
PDCL3,mclust9
PHKA1,mclust9
PHKB,mclust9
PHKG2,mclust9
PPIL3,mclust9
PPM1H,mclust9
PPP2R1B,mclust9
PPP2R3A,mclust9
PPP3CB,mclust9
PREPL,mclust9
PRKAB1,mclust9
PRKAB2,mclust9
PRKD2,mclust9
PSMA1,mclust9
PSMA3,mclust9
PSMA4,mclust9
PSMA5,mclust9
PSMA6,mclust9
PSMA7,mclust9
PSMB2,mclust9
PSMB4,mclust9
PSMB5,mclust9
PSMB7,mclust9
PSMC1,mclust9
PSMC2,mclust9
PSMC3,mclust9
PSMC4,mclust9
PSMC5,mclust9
PSMD1,mclust9
PSMD11,mclust9
PSMD12,mclust9
PSMD13,mclust9
PSMD14,mclust9
PSMD2,mclust9
PSMD3,mclust9
PSMD7,mclust9
PSMD8,mclust9
PSME4,mclust9
PTRHD1,mclust9
QTRT1,mclust9
QTRTD1,mclust9
R3HCC1,mclust9
RABGAP1,mclust9
RABL5,mclust9
REXO2,mclust9
RICTOR,mclust9
RPGR,mclust9
RPS6KB1,mclust9
RUFY3,mclust9
SASS6,mclust9
SDCBP,mclust9
SEC23IP,mclust9
SESN2,mclust9
SGTB,mclust9
SH3BP5L,mclust9
SHQ1,mclust9
SKIV2L,mclust9
SMG8,mclust9
SMURF2,mclust9
SNX1,mclust9
SNX2,mclust9
SNX5,mclust9
SNX6,mclust9
SPATA5,mclust9
SPATA5L1,mclust9
SPR,mclust9
STAT5B,mclust9
STK24,mclust9
STK38,mclust9
STK38L,mclust9
TBC1D22A,mclust9
TBCEL,mclust9
TBK1,mclust9
TCP1,mclust9
THTPA,mclust9
TNKS,mclust9
TPD52,mclust9
TRAPPC3,mclust9
TRIM26,mclust9
TRIM36,mclust9
TSC1,mclust9
TTC1,mclust9
TTC37,mclust9
TTI2,mclust9
TUBGCP6,mclust9
TXNDC9,mclust9
TXNL4B,mclust9
UBE2D2,mclust9
UBE2L6,mclust9
UBE2M,mclust9
UBE2Z,mclust9
UBR4,mclust9
UCHL5,mclust9
UEVLD,mclust9
UHRF1BP1,mclust9
UNC13B,mclust9
USP9X,mclust9
WDR37,mclust9
WDR6,mclust9
WDR81,mclust9
VPS4A,mclust9
WWC2,mclust9
ZFAND5,mclust9
ZFYVE1,mclust9
ZRANB1,mclust9
ZZEF1,mclust9
