"","x"
"Q5HYK3","MITOCHONDRIA"
"Q9H6R0","NUCLEUS"
"Q99442","ER"
"P61513","RIBOSOME"
"P62249","RIBOSOME"
"P33908","GOLGI"
"P11117","LYSOSOME"
"P62269","RIBOSOME"
"P48637","CYTOSOL"
"O95479","ER"
"Q12846","PM"
"Q86UL3","ER"
"P46781","RIBOSOME"
"Q02127","MITOCHONDRIA"
"P53007","MITOCHONDRIA"
"O75648","MITOCHONDRIA"
"O43292","ER"
"Q8NBM4","ER"
"O60830","MITOCHONDRIA"
"Q9Y666","PM"
"Q16543","CYTOSOL"
"Q9P0I2","ER"
"Q9P000","EARLY ENDOSOME"
"Q9Y305","MITOCHONDRIA"
"P28072","PROTEASOME"
"Q86X83","EARLY ENDOSOME"
"Q7LGA3","GOLGI"
"O75879","MITOCHONDRIA"
"Q9NR45","CYTOSOL"
"Q9Y3U8","RIBOSOME"
"Q9BY49","PEROXISOME"
"O75063","GOLGI"
"P40429","RIBOSOME"
"P49720","PROTEASOME"
"P48556","PROTEASOME"
"P52788","CYTOSOL"
"P61353","RIBOSOME"
"P15848","LYSOSOME"
"Q99436","PROTEASOME"
"P11234","PM"
"Q96CM8","MITOCHONDRIA"
"Q8NBJ7","ER"
"Q9NP66","NUCLEUS"
"P51570","CYTOSOL"
"P83111","MITOCHONDRIA"
"P49593","CYTOSOL"
"Q9H4A5","GOLGI"
"P46779","RIBOSOME"
"Q643R3","ER"
"P07858","LYSOSOME"
"Q9Y6N5","MITOCHONDRIA"
"A6NDG6","CYTOSOL"
"Q15120","MITOCHONDRIA"
"Q10469","GOLGI"
"O43181","MITOCHONDRIA"
"O00487","PROTEASOME"
"P04066","LYSOSOME"
"P18077","RIBOSOME"
"O75616","MITOCHONDRIA"
"O14734","PEROXISOME"
"O95336","CYTOSOL"
"P84095","PM"
"O95881","ER"
"Q9BU23","ER"
"P16219","MITOCHONDRIA"
"O00264","ER"
"O60476","GOLGI"
"O75663","CYTOSOL"
"Q9BYC5","GOLGI"
"P62277","RIBOSOME"
"Q8TC12","ER"
"Q9NZ01","ER"
"Q10472","GOLGI"
"P13984","NUCLEUS"
"P62857","RIBOSOME"
"O75208","MITOCHONDRIA"
"Q9HCN8","ER"
"P46776","RIBOSOME"
"O00400","ER"
"P21953","MITOCHONDRIA"
"P63220","RIBOSOME"
"P62072","MITOCHONDRIA"
"O15254","PEROXISOME"
"Q86VX2","EARLY ENDOSOME"
"Q9Y5L4","MITOCHONDRIA"
"P00403","MITOCHONDRIA"
"P47985","MITOCHONDRIA"
"P07711","LYSOSOME"
"P10619","LYSOSOME"
"Q01650","PM"
"P62854","RIBOSOME"
"O14832","PEROXISOME"
"P11166","PM"
"P15374","CYTOSOL"
"P62266","RIBOSOME"
"P60866","RIBOSOME"
"Q9GZQ3","EARLY ENDOSOME"
"Q9UBR2","LYSOSOME"
"Q9H488","ER"
"P15289","LYSOSOME"
"P08582","PM"
"P50914","RIBOSOME"
"P42677","RIBOSOME"
"O14925","MITOCHONDRIA"
"Q9H0A8","EARLY ENDOSOME"
"Q04760","CYTOSOL"
"P11279","LYSOSOME"
"Q9BZQ6","ER"
"Q9UBM7","ER"
"P84098","RIBOSOME"
"P63173","RIBOSOME"
"P49207","RIBOSOME"
"Q9UBI1","EARLY ENDOSOME"
"P07741","CYTOSOL"
"P37837","CYTOSOL"
"O14773","LYSOSOME"
"P30740","CYTOSOL"
"P53985","PM"
"P42785","LYSOSOME"
"Q2TAA5","ER"
"P61009","ER"
"Q9UMY1","NUCLEUS"
"Q8NCC3","LYSOSOME"
"P55769","NUCLEUS"
"Q9Y3C1","NUCLEUS"
"O43678","MITOCHONDRIA"
"Q9Y5J6","MITOCHONDRIA"
"P26572","GOLGI"
"P07919","MITOCHONDRIA"
"Q15102","CYTOSOL"
"Q4G176","MITOCHONDRIA"
"O95297","PM"
"P34059","LYSOSOME"
"P42766","RIBOSOME"
"Q9BT09","ER"
"P16930","CYTOSOL"
"P18084","PM"
"P17050","LYSOSOME"
"O00462","LYSOSOME"
"Q6Y288","ER"
"Q9NX08","EARLY ENDOSOME"
"Q14376","CYTOSOL"
"P30825","PM"
"Q9Y5J7","MITOCHONDRIA"
"Q9HAB8","CYTOSOL"
"P63218","PM"
"Q8NCL4","GOLGI"
"Q8NBL1","ER"
"Q96BN8","CYTOSOL"
"O60911","LYSOSOME"
"Q8N5M9","ER"
"P47914","RIBOSOME"
"Q86TM6","ER"
"Q9NPR9","PM"
"Q96S97","PM"
"Q9NRX4","CYTOSOL"
"Q7Z4G1","EARLY ENDOSOME"
"Q03405","PM"
"Q9H6X2","PM"
"Q8N4A0","GOLGI"
"O00115","LYSOSOME"
"O60725","ER"
"P26885","ER"
"O43676","MITOCHONDRIA"
"Q3T906","GOLGI"
"Q9Y5P6","CYTOSOL"
"P61927","RIBOSOME"
