Protein,FS1 A HCC827-rep2,FS1 B HCC827-rep2,FS2 A HCC827-rep2,FS2 B HCC827-rep2,FP1 A HCC827-rep2,FP1 B HCC827-rep2,FP2 A HCC827-rep2,FP2 B HCC827-rep2,FP3 A HCC827-rep2,FP3 B HCC827-rep2,MIN PSMs for quant
TMEM259,0.2651,0.2592,0.5496,0.5075,1.1812,1.1724,1.9630,1.8552,1.8248,1.9276,8
TMEM260,0.3478,0.6455,0.3564,0.3326,1.3590,1.3489,2.2624,2.0102,1.7318,1.9231,2
TMEM261,0.7559,0.9748,0.5295,0.5709,1.3608,1.3883,1.9709,1.8193,1.0422,1.3355,8
TMEM27,0.6369,0.2480,0.3962,0.3469,0.9542,1.2841,1.8707,2.1049,2.4062,2.5465,2
TMEM30A,0.4841,0.5829,0.4800,0.5274,1.2485,1.2896,1.8608,1.5808,2.0054,1.9407,50
TMEM30B,0.5264,0.4721,0.6131,0.6260,1.4883,1.4013,1.8643,1.7592,1.3964,1.4023,13
TMEM33,0.4337,0.4859,0.3530,0.3525,1.2390,1.2890,2.1537,1.7332,1.8572,2.0680,37
TMEM38B,0.2583,0.2527,0.3374,0.3035,1.3436,1.4794,2.2052,2.1382,1.7476,2.2095,8
TMEM39A,0.7338,0.7329,0.4724,0.4623,1.1912,1.2843,2.0054,1.7184,1.7439,1.7925,7
TMEM39B,0.3880,0.3922,0.4172,0.4518,1.2154,1.2532,2.1438,2.1486,1.8472,2.0081,6
TMEM40,0.5285,0.5445,0.5114,0.4879,1.1075,1.3690,1.8316,1.7449,1.9903,1.7881,6
TMEM41A,0.7031,0.7233,0.6566,0.6122,1.1971,1.2325,1.7486,1.7100,1.4847,1.6503,19
TMEM41B,0.9446,0.8327,0.5190,0.6576,1.4643,1.5500,1.5918,2.1371,1.8633,1.4633,4
TMEM43,0.3548,0.3808,0.3446,0.3582,1.3716,1.4081,2.1985,2.0665,1.9126,2.0098,88
TMEM44,0.4903,0.4907,0.5941,0.5839,1.3928,1.7349,1.9708,1.9781,1.7079,1.7746,2
TMEM45B,0.9541,0.7371,0.6547,0.6216,1.0627,1.1641,1.7976,1.8440,1.6864,1.7456,12
